"Sample","Cells_Raw","Cells_Filtered","Retention_Percent","Median_Genes","Median_UMI","Median_MT_Percent"
"KO",31263,30357,97.1,2035,4647,5.74
"WT",11759,10410,88.5,2316.5,5866.5,6.81
