"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster","significance"
8.36183634458716e-60,-7.23733072440175,0.005,0.5,2.51783254171864e-55,"AC092957.1","15","Down in KO"
6.5611581995417e-26,-3.25441172645943,0.033,0.407,1.975630345464e-21,"CFAP299","15","Down in KO"
2.42536884152265e-25,-4.38597192128098,0.01,0.278,7.30302811870885e-21,"CADPS2","15","Down in KO"
3.71201592120688e-25,-4.43771342842584,0.003,0.222,1.1177251140346e-20,"AC004052.1","15","Down in KO"
3.94578635916638e-24,-4.61157652337804,0.012,0.278,1.18811573060859e-19,"CFAP157","15","Down in KO"
5.41821941139281e-23,-4.77575002361096,0.014,0.278,1.63148004696449e-18,"TRMT9B","15","Down in KO"
6.84654942347571e-23,-5.54629967493434,0.003,0.204,2.06156449690277e-18,"AC004594.1","15","Down in KO"
7.44476519819783e-23,-9.78707896082955,0,0.167,2.24169324882935e-18,"LINC02609","15","Down in KO"
7.52815949083535e-23,-4.73155957159421,0.003,0.204,2.26680410428543e-18,"CDH12","15","Down in KO"
6.87194754740299e-22,-2.60944602058166,0.091,0.556,2.06921212599851e-17,"AL139815.1","15","Down in KO"
1.52843849078471e-21,-3.70016525026495,0.016,0.278,4.60228113960184e-17,"AC093515.1","15","Down in KO"
6.4643477038342e-21,-3.7418498997063,0.01,0.241,1.94647973710151e-16,"CNTN5","15","Down in KO"
1.84072947626641e-20,-9.50634783624674,0,0.148,5.54262052598578e-16,"RLF","15","Down in KO"
2.0687432387714e-20,-3.21191715346503,0.017,0.278,6.22919276626455e-16,"ADGB","15","Down in KO"
2.64577965433499e-20,-2.93801669779018,0.033,0.352,7.96670711716809e-16,"NT5DC1","15","Down in KO"
2.70256432839716e-20,-4.57017055965064,0.002,0.167,8.1376914492367e-16,"AC002070.1","15","Down in KO"
9.3295757751062e-20,-3.91453553679329,0.012,0.241,2.80922856164223e-15,"AC079804.3","15","Down in KO"
5.12617937153768e-19,-4.53278500345017,0.01,0.222,1.54354387056371e-14,"AC010168.1","15","Down in KO"
6.31114828295335e-19,-3.40438671459875,0.033,0.333,1.90034985948008e-14,"ABCA4","15","Down in KO"
7.11499287618722e-19,-4.24890263736764,0.014,0.241,2.14239550494873e-14,"AC096564.1","15","Down in KO"
1.51247388224246e-18,2.73101385618385,0.868,0.352,4.55421010682027e-14,"IFI27","15","Up in KO"
1.64700691848474e-18,-2.48861059292215,0.085,0.5,4.95930253224941e-14,"SORBS2","15","Down in KO"
5.56485671684497e-18,-2.60065367638067,0.068,0.444,1.67563400600919e-13,"DNAH9","15","Down in KO"
5.94340153549488e-18,-5.61285004211094,0.002,0.148,1.78961763635286e-13,"SEMA5A","15","Down in KO"
8.61416606430973e-18,-3.14205421116066,0.023,0.278,2.5938115436243e-13,"ZIC1","15","Down in KO"
1.43232519405112e-17,-2.60871642377548,0.057,0.407,4.31287439180732e-13,"PTPRM","15","Down in KO"
2.75822332647078e-17,-4.55232828413638,0.007,0.185,8.30528625833615e-13,"STRIP2","15","Down in KO"
2.77967603171558e-17,-2.2252134663797,0.11,0.537,8.36988249909878e-13,"CFAP54","15","Down in KO"
6.28934198774563e-17,-3.34025927620479,0.035,0.315,1.89378376593009e-12,"MIR646HG","15","Down in KO"
8.97023339967604e-17,-2.35423792909528,0.117,0.537,2.70102697897645e-12,"C4orf47","15","Down in KO"
1.01886719565535e-16,-3.35490032199397,0.04,0.333,3.06791101283781e-12,"ARSG","15","Down in KO"
1.05177051088108e-16,2.42495901036554,0.843,0.444,3.16698618531402e-12,"B2M","15","Up in KO"
1.61264377181418e-16,-3.43056049456762,0.042,0.333,4.85583166130967e-12,"GEM","15","Down in KO"
1.61661313653497e-16,-4.09945797057323,0.005,0.167,4.86778381542045e-12,"CFAP73","15","Down in KO"
1.86948957534554e-16,-3.10021699854642,0.063,0.407,5.62922006032295e-12,"GNA14-AS1","15","Down in KO"
2.27591758308714e-16,-1.73257287468238,0.409,0.889,6.85301543443369e-12,"HTR2C","15","Down in KO"
4.79267653395117e-16,-2.52816063333972,0.045,0.352,1.44312283113804e-11,"GNA14","15","Down in KO"
5.53810127687663e-16,-4.23535789434809,0.009,0.185,1.66757767548032e-11,"C8orf34","15","Down in KO"
5.77113010577102e-16,-1.31657117024243,0.998,1,1.73774498614871e-11,"TTR","15","Down in KO"
6.02884021989686e-16,-3.01651671151725,0.023,0.259,1.81534407861314e-11,"COL10A1","15","Down in KO"
6.84428064255911e-16,-3.57253164261932,0.019,0.241,2.06088134428097e-11,"MAP3K19","15","Down in KO"
1.09524513530013e-15,-9.48385487943114,0,0.111,3.29789262690221e-11,"FIGN","15","Down in KO"
1.29128990397704e-15,-2.51373531761314,0.054,0.37,3.88820302986525e-11,"DNAH11","15","Down in KO"
1.31804873153564e-15,-5.26013761653426,0.002,0.13,3.96877653552696e-11,"LRRC4B","15","Down in KO"
3.01344484111059e-15,-4.17175028136937,0.017,0.222,9.0737837610681e-11,"AC084116.3","15","Down in KO"
3.94716265474652e-15,-2.25410496145132,0.118,0.519,1.18853014697072e-10,"CASC19","15","Down in KO"
9.62617184618659e-15,-2.9474529653707,0.026,0.259,2.89853660460524e-10,"AC000099.1","15","Down in KO"
1.59521869432733e-14,-2.15221176646128,0.166,0.593,4.80336301048901e-10,"AC068587.4","15","Down in KO"
1.67232633728821e-14,-3.29876709652924,0.023,0.241,5.03554183420854e-10,"AL355612.1","15","Down in KO"
3.98121932665632e-14,-3.31160115662163,0.019,0.222,1.19878495144948e-09,"NLGN1","15","Down in KO"
4.10066194027314e-14,-2.7678771048066,0.057,0.352,1.23475031683565e-09,"AC024382.1","15","Down in KO"
7.98495403786136e-14,-2.51002239926336,0.089,0.426,2.40434951034043e-09,"TMEM117","15","Down in KO"
8.96448101509187e-14,-3.50948029878089,0.012,0.185,2.69929487845431e-09,"FGF12","15","Down in KO"
1.00065990905287e-13,-4.92766144850097,0.003,0.13,3.0130870521491e-09,"FRMPD2","15","Down in KO"
1.00065990905287e-13,-4.91081948972485,0.003,0.13,3.0130870521491e-09,"KCNE1","15","Down in KO"
1.16361637556382e-13,1.69442651203762,0.899,0.611,3.50376526846023e-09,"RPLP1","15","Up in KO"
2.74773630707646e-13,-5.86225863488478,0.002,0.111,8.27370879423793e-09,"CCDC60","15","Down in KO"
2.74773630707646e-13,-5.05576328858072,0.002,0.111,8.27370879423793e-09,"AC103740.1","15","Down in KO"
2.92976775700297e-13,-4.60546505970849,0.002,0.111,8.82182369311163e-09,"IQCA1","15","Down in KO"
2.92976775700297e-13,-5.28615308681551,0.002,0.111,8.82182369311163e-09,"EPHA3","15","Down in KO"
4.06297889258438e-13,-2.74499379588816,0.042,0.296,1.22340357434608e-08,"ADAMTSL3","15","Down in KO"
4.49716533426183e-13,-2.97073539422906,0.026,0.241,1.35414145379958e-08,"PTPRD","15","Down in KO"
5.04958202828833e-13,-3.88454482320661,0.014,0.185,1.5204796445379e-08,"AC127526.2","15","Down in KO"
5.41486995425508e-13,-3.90417603332122,0.014,0.185,1.63047149192575e-08,"CRPPA","15","Down in KO"
5.71185029230746e-13,-2.67257437680753,0.037,0.278,1.7198952415167e-08,"DNAH12","15","Down in KO"
6.10749921916339e-13,-1.8473264320815,0.242,0.667,1.83902908988229e-08,"PCAT1","15","Down in KO"
9.14648743198e-13,-2.88552083920898,0.038,0.278,2.7540988306435e-08,"BCL2L1","15","Down in KO"
1.04724759864888e-12,-2.09171725520393,0.092,0.426,3.15336724429165e-08,"NWD1","15","Down in KO"
1.18841070272711e-12,-2.11648989797592,0.118,0.481,3.5784234669816e-08,"SLC4A5","15","Down in KO"
1.47717708891172e-12,-2.62341602747871,0.064,0.352,4.44792793242208e-08,"CCDC40","15","Down in KO"
2.37101097514562e-12,-1.72491132146109,0.188,0.611,7.13935114726097e-08,"LRP1B","15","Down in KO"
2.94462930530253e-12,-3.09712791866413,0.024,0.222,8.86657330119646e-08,"TUBB3","15","Down in KO"
3.73996332736813e-12,-1.97448151735598,0.078,0.389,1.12614035750382e-07,"CFAP43","15","Down in KO"
5.94351295711008e-12,-3.71407914575639,0.012,0.167,1.78965118651542e-07,"EYA4","15","Down in KO"
6.28596460871898e-12,-2.52150401894959,0.016,0.185,1.89276680333137e-07,"ECHDC2","15","Down in KO"
6.57382998448035e-12,-3.96083147323724,0.012,0.167,1.97944594662688e-07,"TRPV4","15","Down in KO"
7.26951974489385e-12,-3.37458399527307,0.012,0.167,2.18892509038499e-07,"LINC01091","15","Down in KO"
8.04956550648367e-12,-3.35079764503999,0.009,0.148,2.4238046696573e-07,"LRMP","15","Down in KO"
8.23020773849133e-12,-2.87015370672168,0.009,0.148,2.47819785213712e-07,"AC092546.1","15","Down in KO"
8.43008253043013e-12,-2.29131893827699,0.084,0.389,2.53838215073782e-07,"LRRIQ1","15","Down in KO"
8.56653639095088e-12,-2.10814895927268,0.066,0.352,2.57946977267922e-07,"CFAP44-AS1","15","Down in KO"
9.63643461352764e-12,-2.02353757010047,0.04,0.278,2.90162682647931e-07,"AL157911.1","15","Down in KO"
1.47045581929761e-11,-1.93483767717265,0.294,0.667,4.42768951748704e-07,"NEAT1","15","Down in KO"
1.64163809090331e-11,-4.93258184472803,0.003,0.111,4.94313645551895e-07,"AC068931.1","15","Down in KO"
1.68786297764202e-11,-4.81771160784751,0.003,0.111,5.0823242119779e-07,"ENTPD7","15","Down in KO"
1.8343187897778e-11,-4.84574446050219,0.003,0.111,5.52331730789994e-07,"SGMS2","15","Down in KO"
1.88584849762527e-11,-3.80508529507116,0.003,0.111,5.67847841119944e-07,"AP002008.1","15","Down in KO"
1.889699583722e-11,-2.76654282853289,0.031,0.241,5.69007441654531e-07,"ESRRG","15","Down in KO"
1.96170546033646e-11,-2.29060923625088,0.049,0.296,5.90689131161911e-07,"AL390783.1","15","Down in KO"
