"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster","significance"
0,-11.3674796636705,0,0.75,0,"KCNC3","3","Down in KO"
1.06857541686449e-236,-12.1191696407554,0,0.25,3.21758743772065e-232,"AL589739.1","3","Down in KO"
1.06857541686449e-236,-12.1191696407554,0,0.25,3.21758743772065e-232,"TDGF1","3","Down in KO"
1.06857541686449e-236,-10.5721637594565,0,0.25,3.21758743772065e-232,"AC092354.2","3","Down in KO"
1.06857541686449e-236,-10.5721637594565,0,0.25,3.21758743772065e-232,"AC008505.1","3","Down in KO"
1.06857541686449e-236,-10.5721637594565,0,0.25,3.21758743772065e-232,"ZNF563","3","Down in KO"
1.06857541686449e-236,-10.5721637594565,0,0.25,3.21758743772065e-232,"TUSC1","3","Down in KO"
1.06857541686449e-236,-10.5721637594565,0,0.25,3.21758743772065e-232,"AL031008.1","3","Down in KO"
1.06857541686449e-236,-10.5721637594565,0,0.25,3.21758743772065e-232,"SMIM10","3","Down in KO"
3.11135248812074e-119,-11.1246208167301,0,0.25,9.36859347698035e-115,"AC096577.1","3","Down in KO"
3.11135248812074e-119,-12.2967684934703,0,0.25,9.36859347698035e-115,"LUM","3","Down in KO"
3.11135248812074e-119,-10.9172545040451,0,0.25,9.36859347698035e-115,"HOXB2","3","Down in KO"
3.9959756799046e-119,-9.25789197535237,0,0.25,1.20322823697607e-114,"AL139823.1","3","Down in KO"
3.9959756799046e-119,-9.60261976787424,0,0.25,1.20322823697607e-114,"LRRC15","3","Down in KO"
3.9959756799046e-119,-8.83432243694497,0,0.25,1.20322823697607e-114,"DDN","3","Down in KO"
3.9959756799046e-119,-9.79352430565948,0,0.25,1.20322823697607e-114,"AC020909.3","3","Down in KO"
2.15099074541229e-94,-9.69789533490394,0.009,1,6.47684823351094e-90,"S100A6","3","Down in KO"
2.35109883744158e-80,-8.29447379185356,0.006,0.75,7.07939370942033e-76,"C19orf81","3","Down in KO"
4.846283981522e-80,-10.0577395523637,0,0.25,1.45926456967609e-75,"AGR2","3","Down in KO"
4.846283981522e-80,-10.2862818858623,0,0.25,1.45926456967609e-75,"ADARB2-AS1","3","Down in KO"
4.846283981522e-80,-10.5462356789787,0,0.25,1.45926456967609e-75,"ZNF77","3","Down in KO"
4.846283981522e-80,-9.69847069150939,0,0.25,1.45926456967609e-75,"LBP","3","Down in KO"
6.76612043751564e-80,-7.52000789738323,0,0.25,2.03734652494033e-75,"PCYT1B-AS1","3","Down in KO"
1.99521305388941e-60,-10.0855360256504,0.001,0.25,6.00778602656641e-56,"AL359764.3","3","Down in KO"
2.56293033708469e-60,-8.37454314053528,0.001,0.25,7.71723953799571e-56,"ZNF366","3","Down in KO"
2.56293033708469e-60,-8.94629369046713,0.001,0.25,7.71723953799571e-56,"AL158166.2","3","Down in KO"
2.90451061055206e-60,-8.7319578831008,0.001,0.25,8.74577189943331e-56,"PRRX1","3","Down in KO"
2.90451061055206e-60,-8.7307723605313,0.001,0.25,8.74577189943331e-56,"AL513128.1","3","Down in KO"
2.90451061055206e-60,-8.20505720493268,0.001,0.25,8.74577189943331e-56,"AP001351.1","3","Down in KO"
2.90451061055206e-60,-7.6623466410738,0.001,0.25,8.74577189943331e-56,"SOST","3","Down in KO"
2.90451061055206e-60,-7.75423855094036,0.001,0.25,8.74577189943331e-56,"AC234775.3","3","Down in KO"
1.20125379052259e-48,-9.15848919151478,0.001,0.25,3.61709528864257e-44,"LY6K","3","Down in KO"
1.46781760818175e-48,-8.19519461657926,0.001,0.25,4.41974559999608e-44,"EBF3","3","Down in KO"
1.46781760818175e-48,-8.61521477207143,0.001,0.25,4.41974559999608e-44,"AC091138.1","3","Down in KO"
1.62241030839585e-48,-8.14749752726246,0.001,0.25,4.88523967961075e-44,"AC007494.2","3","Down in KO"
1.79320219903919e-48,-7.75062665482248,0.001,0.25,5.39951114152692e-44,"PRSS3","3","Down in KO"
3.67290213980223e-42,-7.62603706154426,0.005,0.5,1.10594756331585e-37,"AL355334.2","3","Down in KO"
8.70875573773687e-41,-8.87065845355994,0.001,0.25,2.62229344018995e-36,"AC099343.4","3","Down in KO"
1.32202656520727e-40,-8.29234365357443,0.001,0.25,3.98075419049561e-36,"AP005136.3","3","Down in KO"
1.32202656520727e-40,-6.88843170059833,0.001,0.25,3.98075419049561e-36,"AC005339.1","3","Down in KO"
3.62753999222049e-35,-9.23960527229557,0.001,0.25,1.09228856705751e-30,"TRAPPC12-AS1","3","Down in KO"
3.62753999222049e-35,-9.2892419456375,0.001,0.25,1.09228856705751e-30,"LINC01975","3","Down in KO"
3.62753999222049e-35,-10.0341267302896,0.001,0.25,1.09228856705751e-30,"TDRD12","3","Down in KO"
4.1863685088089e-35,-8.09619947228566,0.001,0.25,1.26055742168745e-30,"VCAM1","3","Down in KO"
4.1863685088089e-35,-8.4709120729748,0.001,0.25,1.26055742168745e-30,"CYP3A43","3","Down in KO"
5.57335126944659e-35,-7.71632474549958,0.001,0.25,1.67819180074306e-30,"LINC01136","3","Down in KO"
5.57335126944659e-35,-7.28940646629531,0.001,0.25,1.67819180074306e-30,"AL732314.6","3","Down in KO"
1.09047219303007e-33,-7.11068269153717,0.006,0.5,3.28352082043286e-29,"AC092957.1","3","Down in KO"
6.00065626883285e-31,-8.80424703374905,0.002,0.25,1.80685760910826e-26,"ARHGEF3-AS1","3","Down in KO"
6.00065626883285e-31,-8.69960546608475,0.002,0.25,1.80685760910826e-26,"CASS4","3","Down in KO"
6.80252337088468e-31,-8.14700649168473,0.002,0.25,2.04830781220708e-26,"LINC00648","3","Down in KO"
6.80252337088468e-31,-7.80657279428228,0.002,0.25,2.04830781220708e-26,"AL121820.2","3","Down in KO"
7.24247391315558e-31,-7.95400583527713,0.002,0.25,2.18078131999028e-26,"ELF4","3","Down in KO"
8.73901802500989e-31,-7.53460016948783,0.002,0.25,2.63140571751073e-26,"VPS37B","3","Down in KO"
9.30313954566314e-31,-6.71896889993889,0.002,0.25,2.80126834859463e-26,"AC005586.2","3","Down in KO"
9.30313954566314e-31,-7.30789924320653,0.002,0.25,2.80126834859463e-26,"AC087477.5","3","Down in KO"
1.15426221074837e-27,-8.4356800080217,0.002,0.25,3.47559894278443e-23,"LRTM1","3","Down in KO"
1.15426221074837e-27,-9.08040885778679,0.002,0.25,3.47559894278443e-23,"CRHR2","3","Down in KO"
1.22047867886548e-27,-8.09750312073153,0.002,0.25,3.67498334993184e-23,"AC017104.1","3","Down in KO"
1.29410202111755e-27,-7.3401657615882,0.008,0.5,3.89667059578704e-23,"CAV3","3","Down in KO"
1.70471326583014e-27,-7.14028776981335,0.002,0.25,5.13306211474115e-23,"AL604028.1","3","Down in KO"
1.80218485963798e-27,-7.07498149832182,0.002,0.25,5.42655883085592e-23,"AC009974.1","3","Down in KO"
1.80218485963798e-27,-7.51195616429212,0.002,0.25,5.42655883085592e-23,"MFAP5","3","Down in KO"
5.43983441984087e-25,-7.57420789009697,0.002,0.25,1.63798854215828e-20,"MACC1","3","Down in KO"
