"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster","significance"
2.98575490327931e-145,4.79396438062908,0.581,0.047,8.99040658926434e-141,"BST2","9","Up in KO"
8.33424267874905e-111,2.24523542035356,0.942,0.421,2.50952381299813e-106,"IFI27","9","Up in KO"
2.07542159136515e-104,3.21455111333317,0.529,0.068,6.24930195375961e-100,"IFITM1","9","Up in KO"
1.14442865401001e-102,4.07985216316235,0.474,0.05,3.44598912008953e-98,"HIST1H1E","9","Up in KO"
5.29555501920416e-90,2.29853210273546,0.782,0.292,1.59454457183256e-85,"TBC1D5","9","Up in KO"
3.94085779259604e-85,3.72804210082534,0.449,0.061,1.18663168992859e-80,"WIF1","9","Up in KO"
8.53116520708521e-80,2.37943754415169,0.799,0.327,2.56881915550543e-75,"PTGDS","9","Up in KO"
8.92908550795428e-80,3.66567202899639,0.364,0.032,2.68863693730011e-75,"EMX2","9","Up in KO"
2.04656636856724e-74,3.30981896556694,0.449,0.077,6.16241599239283e-70,"PLS3","9","Up in KO"
7.42982805676162e-74,1.62632338742891,0.868,0.452,2.23719552617149e-69,"ISG15","9","Up in KO"
1.14446980829243e-72,5.35111283167158,0.273,0.013,3.44611303974935e-68,"AL583808.1","9","Up in KO"
1.61200470527425e-70,4.36335657344025,0.24,0.006,4.85390736805129e-66,"TEX41","9","Up in KO"
6.29638867400857e-70,3.54092307547171,0.435,0.077,1.89590559363072e-65,"HTR2C","9","Up in KO"
2.28820678668783e-68,3.93809095429089,0.402,0.066,6.89001945539571e-64,"CXCL14","9","Up in KO"
4.51130533069462e-68,2.69084867723948,0.361,0.044,1.35839914812546e-63,"PRTG","9","Up in KO"
1.59906603783544e-67,4.34784900688495,0.281,0.019,4.81494774652629e-63,"AC116049.2","9","Up in KO"
3.85764564919996e-67,1.78165398363724,0.829,0.415,1.1615756814306e-62,"IFITM3","9","Up in KO"
1.99673281284328e-66,1.85034054223105,0.76,0.336,6.01236217275239e-62,"HLA-B","9","Up in KO"
2.93331628158716e-65,3.70337716201521,0.328,0.036,8.8325086554871e-61,"RSPO3","9","Up in KO"
1.1491349404449e-64,1.4461299685984,0.948,0.692,3.46016021917365e-60,"B2M","9","Up in KO"
1.93734657172862e-64,2.33346216888428,0.556,0.138,5.83354426213205e-60,"CRYAB","9","Up in KO"
1.91496080129665e-63,2.98932774950195,0.325,0.037,5.76613846878433e-59,"HSD17B2","9","Up in KO"
4.69052459439691e-63,1.96472717335979,0.504,0.122,1.41236386061885e-58,"AGBL4","9","Up in KO"
7.41991503183747e-63,1.80482663054768,0.7,0.269,2.23421061523658e-58,"HLA-C","9","Up in KO"
1.74501853096206e-60,3.89753110264171,0.295,0.03,5.25442529857987e-56,"HERC5","9","Up in KO"
5.33978686146585e-60,2.14323203711186,0.526,0.142,1.60786322185598e-55,"STAT1","9","Up in KO"
3.76812035126528e-59,2.91050201138449,0.388,0.07,1.13461871896949e-54,"IFITM2","9","Up in KO"
7.51662026313099e-59,2.69027104611534,0.59,0.219,2.26332952743137e-54,"HDAC9","9","Up in KO"
7.14178872735833e-58,1.79751204978476,0.65,0.235,2.15046400369487e-53,"AC104041.1","9","Up in KO"
1.36740396267162e-57,5.18314484859916,0.215,0.009,4.11739007200051e-53,"MIR4713HG","9","Up in KO"
2.27224045447489e-57,3.65555555331569,0.278,0.028,6.84194323246933e-53,"CFI","9","Up in KO"
