"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster","significance"
1.15843185354329e-165,-8.62869060097028,0.003,0.588,3.4881541542042e-161,"S100A6","5","Down in KO"
2.65018825549067e-141,-9.69241367043196,0,0.294,7.97998185610796e-137,"TUSC1","5","Down in KO"
3.11928958397268e-101,-7.44729111090145,0.002,0.353,9.39249286630013e-97,"CFLAR","5","Down in KO"
2.26309300084402e-98,-6.87783758044539,0.003,0.412,6.81439933484142e-94,"LRRC4B","5","Down in KO"
1.77943751059129e-85,-8.36638874831537,0,0.176,5.35806428814144e-81,"ZNF138","5","Down in KO"
6.56000682887754e-78,-6.02556370635252,0.003,0.353,1.97528365624332e-73,"IQCA1","5","Down in KO"
2.55235977441674e-74,-5.80656108398988,0.007,0.471,7.68541051674625e-70,"AC092957.1","5","Down in KO"
1.08835223046041e-71,-6.09709432206104,0.008,0.471,3.27713740113934e-67,"C19orf81","5","Down in KO"
1.98436799862296e-71,-5.6715388148573,0.008,0.471,5.9751304806536e-67,"RLF","5","Down in KO"
2.94680422193119e-64,-7.72210297244895,0,0.176,8.87312219265702e-60,"ECHDC3","5","Down in KO"
1.43857970363199e-57,-8.15687361781042,0,0.118,4.33170734560629e-53,"ZNF107","5","Down in KO"
1.43857970363199e-57,-8.7321110150727,0,0.118,4.33170734560629e-53,"ZNF440","5","Down in KO"
1.45794035364094e-50,-6.32373705211455,0.004,0.294,4.39000419884825e-46,"NEFL","5","Down in KO"
4.59200674070469e-47,-5.31413530848051,0.018,0.529,1.38269914969359e-42,"JOSD2","5","Down in KO"
1.53215434315291e-45,-6.90643353672508,0.003,0.235,4.61346994266773e-41,"MYH14","5","Down in KO"
9.57574391393926e-40,-4.88685866178857,0.05,0.765,2.88335224992625e-35,"ECRG4","5","Down in KO"
1.075940296233e-38,-7.46510008718754,0,0.118,3.23976382598718e-34,"TRIM4","5","Down in KO"
1.88961742060302e-30,-4.71859348143537,0.008,0.294,5.68982701517776e-26,"FAM71E1","5","Down in KO"
3.25424513933579e-29,-6.25524691808108,0.001,0.118,9.798857539054e-25,"AL139082.1","5","Down in KO"
6.89870773970819e-29,-4.0796256073918,0.039,0.588,2.07726988750353e-24,"COL1A2","5","Down in KO"
3.41103728036928e-28,-3.93206852308539,0.018,0.412,1.02709743549199e-23,"CLEC11A","5","Down in KO"
8.67868314345812e-27,-5.21338343924239,0.006,0.235,2.61323828132668e-22,"BDH1","5","Down in KO"
3.07190968854615e-25,-5.09921032956292,0.006,0.235,9.24982726318132e-21,"NLRP2","5","Down in KO"
3.23443755006609e-25,-4.98712026557843,0.006,0.235,9.73921490700401e-21,"ZNF44","5","Down in KO"
