"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.31437227167513,0.596,0.186,0,"0","RSPO3"
0,2.08723307950262,0.637,0.231,0,"0","CFB"
0,2.12126072722775,0.583,0.193,0,"0","CYP1B1-AS1"
0,2.06334543738763,0.49,0.149,0,"0","PAPPA2"
0,2.48770756025978,0.427,0.114,0,"0","ADAMTS1"
0,2.10685592977332,0.38,0.101,0,"0","LIX1"
0,1.90035945567871,0.361,0.109,0,"0","ABCA8"
0,1.95852192390453,0.305,0.09,0,"0","SULF2"
0,1.90571740982345,0.284,0.091,0,"0","RASD1"
0,2.30989030064164,0.252,0.065,0,"0","TSPAN8"
0,1.00251084992414,0.667,0.433,0,"1","VEGFA"
0,1.20562592973303,0.637,0.431,0,"1","LRRC75A"
2.75140508740251e-267,1.04549337891629,0.541,0.337,8.2847558586777e-263,"1","SULF1"
1.23368059859578e-238,1.09314558560585,0.546,0.371,3.71473565043176e-234,"1","AC092069.1"
8.45023520296357e-222,0.94987056738198,0.662,0.548,2.54445032196436e-217,"1","MT-ND6"
4.43795441129031e-108,0.938445588852931,0.451,0.355,1.33631245278362e-103,"1","RBM47"
1.16975360402854e-101,0.925407309122276,0.458,0.368,3.52224507709034e-97,"1","IMMP2L"
2.71500713437072e-83,0.971484022971909,0.397,0.31,8.17515798230367e-79,"1","GJA1"
1.29691489134036e-58,0.991642927591764,0.279,0.202,3.90514042931495e-54,"1","GRIN2A"
2.34956109207212e-38,0.914846343633624,0.271,0.213,7.07476340433836e-34,"1","KCNIP1"
0,1.29555156287978,0.919,0.588,0,"2","HTR2C"
0,1.06369083485583,0.714,0.403,0,"2","WFIKKN2"
0,1.55779382650166,0.587,0.281,0,"2","DIO3"
0,1.51677842932203,0.626,0.33,0,"2","TYRP1"
0,1.09002137570442,0.716,0.44,0,"2","PLAC9"
2.92900787801855e-305,1.05281712739723,0.538,0.303,8.81953562150164e-301,"2","FRMD4B"
1.52159449377778e-302,1.06146207200746,0.5,0.266,4.58167318021429e-298,"2","DRD4"
4.84185967888362e-252,1.10226919534941,0.493,0.285,1.45793236790865e-247,"2","SLC4A10"
1.91887537047656e-172,1.05961021601544,0.312,0.159,5.77792562804198e-168,"2","COL9A3"
2.8065075567098e-163,1.14132133359068,0.326,0.176,8.45067490400887e-159,"2","TNNC1"
0,3.38490661898028,0.485,0.065,0,"3","ADM"
0,2.58636588628547,0.753,0.343,0,"3","ANKRD37"
0,2.47613948056149,0.524,0.129,0,"3","SLC2A3"
0,2.42911077123083,0.566,0.192,0,"3","AKAP12"
0,2.49263532887788,0.533,0.196,0,"3","S100A10"
0,3.33837875347755,0.462,0.15,0,"3","PMCH"
0,2.9011292218763,0.35,0.064,0,"3","STC2"
0,2.8107840548233,0.331,0.056,0,"3","NDRG1"
0,2.69473675907493,0.384,0.145,0,"3","S100A4"
0,2.82372121703553,0.3,0.074,0,"3","TM4SF18"
0,3.63484215291227,0.692,0.073,0,"4","NUSAP1"
0,3.59345918133237,0.669,0.102,0,"4","CENPF"
0,3.90766307232271,0.393,0.02,0,"4","MKI67"
0,3.61220368512111,0.394,0.031,0,"4","DLGAP5"
0,3.76721913225999,0.386,0.03,0,"4","HIST1H1B"
0,3.62496908686787,0.356,0.021,0,"4","NCAPG"
0,3.87469971587838,0.335,0.023,0,"4","ASPM"
0,3.813340406149,0.324,0.02,0,"4","HMMR"
0,3.98629498977654,0.318,0.015,0,"4","ESCO2"
0,3.62722939386221,0.31,0.021,0,"4","DEPDC1"
0,3.15760513984168,0.751,0.16,0,"5","SFRP1"
0,3.10507749165407,0.403,0.046,0,"5","PRSS12"
0,2.48932121478479,0.408,0.063,0,"5","DNAH10"
0,2.65594534401183,0.39,0.06,0,"5","ATP2B3"
0,3.04316584553554,0.372,0.045,0,"5","F5"
0,2.8322922837917,0.367,0.049,0,"5","CFAP157"
0,3.95196561498881,0.346,0.031,0,"5","SCGB2A1"
0,2.48158267871951,0.37,0.061,0,"5","ADGB"
0,2.55665687599446,0.356,0.051,0,"5","C11orf97"
0,2.5774958568384,0.316,0.042,0,"5","FAM92B"
0,1.90038870029268,0.813,0.727,0,"6","TUBA1A"
5.38162082808595e-201,2.32096523084877,0.42,0.192,1.62045984754496e-196,"6","TUBB2B"
1.31688435923611e-139,2.26333952929563,0.373,0.188,3.96527049409585e-135,"6","TUBB3"
2.47571410246763e-121,2.05870105926651,0.37,0.196,7.45462273394028e-117,"6","TUBB2A"
2.54110175358723e-117,1.89788383710418,0.652,0.69,7.65151149022652e-113,"6","STMN1"
5.04188156739993e-102,2.75567693681726,0.337,0.195,1.51816095875979e-97,"6","TMSB15A"
8.71986740856099e-66,2.32868863625304,0.364,0.259,2.6256392753918e-61,"6","FABP7"
1.01638904710625e-51,2.23499751063073,0.445,0.422,3.06044905974162e-47,"6","CKB"
1.55001594793789e-43,1.86716417222314,0.48,0.495,4.66725302083579e-39,"6","JPT1"
3.53951585366309e-30,1.97515930780462,0.324,0.264,1.06578361869649e-25,"6","MLLT11"
2.34175106596722e-97,0.953597828704124,0.776,0.808,7.05124663473389e-93,"7","ISG15"
1.18999438547484e-59,1.41832719216855,0.584,0.615,3.58319209410329e-55,"7","CRYAB"
7.57469311087908e-50,0.849776778109729,0.157,0.368,2.2808158426168e-45,"7","UBE2L6"
2.04121578691043e-42,0.889489001438043,0.257,0.527,6.14630485596601e-38,"7","HIST1H4C"
1.06146679252998e-41,1.41566452905181,0.115,0.277,3.19618265898703e-37,"7","PLCG2"
1.84152077397705e-40,0.844708672582271,0.187,0.398,5.5450032025223e-36,"7","PSMB8"
9.70299383375063e-21,0.953615643319954,0.197,0.354,2.92166847328065e-16,"7","OAS1"
1.25480518496695e-20,1.13830595989934,0.166,0.305,3.77834389245397e-16,"7","HIST1H1E"
1.45460267994736e-20,0.945842491966413,0.227,0.406,4.3799541295895e-16,"7","PSMB9"
0.000119131417906295,0.932887410925631,0.301,0.437,1,"7","IFIT3"
0,3.15637008786689,0.836,0.11,0,"8","ECRG4"
0,3.38071621690272,0.381,0.03,0,"8","ART3"
0,3.62664999919096,0.372,0.021,0,"8","TRPV4"
0,3.25779131860186,0.328,0.023,0,"8","IQCA1"
0,4.56584518097728,0.315,0.017,0,"8","TMEM190"
0,3.9065697310721,0.306,0.016,0,"8","GDF15"
0,3.5270606175138,0.298,0.018,0,"8","AP002008.4"
0,3.09591088425514,0.299,0.032,0,"8","AL357093.2"
0,3.80294185170192,0.267,0.018,0,"8","APOD"
0,3.31220299022949,1,0.999,0,"8","TTR"
0,4.65158764088769,0.607,0.05,0,"9","NRXN1"
0,6.07249652380499,0.423,0.022,0,"9","VGF"
0,4.37861409726901,0.4,0.028,0,"9","GRIA4"
0,4.49199505758001,0.381,0.026,0,"9","RALYL"
0,4.3341770716919,0.418,0.076,0,"9","PCDH9"
0,4.56626455009975,0.355,0.018,0,"9","TTC9B"
