"KO","WT","cluster","total","KO_pct","WT_pct"
7237,8,"0",7245,99.8895790200138,0.110420979986197
5231,3,"1",5234,99.942682460833,0.0573175391669851
5129,11,"2",5140,99.7859922178988,0.214007782101167
4319,4,"3",4323,99.9074716631969,0.092528336803146
2419,163,"4",2582,93.6870642912471,6.3129357087529
2174,17,"5",2191,99.224098585121,0.775901414879051
262,1866,"6",2128,12.312030075188,87.687969924812
2008,67,"7",2075,96.7710843373494,3.2289156626506
19,1854,"8",1873,1.01441537640149,98.9855846235985
363,1433,"9",1796,20.2115812917595,79.7884187082405
4,1369,"10",1373,0.291332847778587,99.7086671522214
7,1249,"11",1256,0.557324840764331,99.4426751592357
5,925,"12",930,0.537634408602151,99.4623655913979
3,794,"13",797,0.376411543287327,99.6235884567127
465,201,"14",666,69.8198198198198,30.1801801801802
574,54,"15",628,91.4012738853503,8.59872611464968
0,324,"16",324,0,100
134,0,"17",134,100,0
4,68,"18",72,5.55555555555556,94.4444444444444
