"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster","significance"
6.05227204573916e-143,4.41536164846078,0.975,0.338,1.82239963569252e-138,"IFI27","9","Up in KO"
8.80443989864062e-143,6.0931896550383,0.679,0.041,2.65110489787968e-138,"BST2","9","Up in KO"
4.01879841957406e-111,4.58675715796721,0.614,0.055,1.21010039211795e-106,"IFITM1","9","Up in KO"
3.30939841104125e-107,3.40570904453703,0.895,0.317,9.96492955548632e-103,"IFITM3","9","Up in KO"
5.16216022850319e-102,4.03768644212818,0.711,0.136,1.55437806640459e-97,"HLA-C","9","Up in KO"
2.03155178318545e-101,4.85810985609791,0.563,0.049,6.11720557434972e-97,"WIF1","9","Up in KO"
1.72696365267035e-99,3.07459544750177,0.877,0.317,5.20006025455569e-95,"PTGDS","9","Up in KO"
7.96119386180263e-99,5.77812417393361,0.502,0.031,2.39719508372739e-94,"CXCL14","9","Up in KO"
1.61406898418245e-98,3.44326558513308,0.935,0.541,4.86012311827179e-94,"B2M","9","Up in KO"
1.95836013953956e-95,3.02229967497723,0.884,0.376,5.89681821616756e-91,"ISG15","9","Up in KO"
8.69497800745042e-95,3.73746806962542,0.769,0.216,2.6181448278234e-90,"HLA-B","9","Up in KO"
4.76154384118243e-92,3.8657069744152,0.693,0.144,1.43374846601844e-87,"TRPM3","9","Up in KO"
4.06406661004952e-88,3.10526754371846,0.895,0.459,1.22373109695201e-83,"IFI6","9","Up in KO"
2.26349551082656e-87,4.62341095275158,0.491,0.041,6.81561133264987e-83,"PLSCR1","9","Up in KO"
4.80486999152502e-81,-1.53235749331497,0.859,0.982,1.4467944031481e-76,"BASP1","9","Down in KO"
2.63164964789605e-80,-1.82601890533051,0.776,0.968,7.92416025477979e-76,"MAP1B","9","Down in KO"
1.35561175566098e-79,-2.13272310919326,0.657,0.949,4.08188255747077e-75,"TUBB3","9","Down in KO"
4.88248235308828e-79,4.68529321145909,0.462,0.043,1.47016426133841e-74,"IGFBP5","9","Up in KO"
5.78722782909218e-78,3.82267083503373,0.556,0.085,1.74259217161795e-73,"HTR2C","9","Up in KO"
5.94565490538872e-78,4.591352071572,0.426,0.029,1.7902961485616e-73,"RSPO2","9","Up in KO"
2.38937101247363e-77,3.91833371182331,0.527,0.073,7.19463505565935e-73,"PLS3","9","Up in KO"
7.24107344651161e-77,6.05436433272661,0.35,0.009,2.18035962547911e-72,"AL583808.1","9","Up in KO"
6.02332160966997e-75,3.61331830030049,0.592,0.113,1.81368236988772e-70,"CRYAB","9","Up in KO"
4.5373151505279e-73,-1.73486892278228,0.892,0.984,1.36623096497545e-68,"TUBA1A","9","Down in KO"
1.01929909093834e-72,2.84769238868885,0.783,0.334,3.06921149272443e-68,"APOE","9","Up in KO"
1.18187695453649e-72,3.95994911690608,0.484,0.061,3.55874969780482e-68,"GALNT10","9","Up in KO"
3.10754316920009e-72,4.29911890840016,0.404,0.029,9.35712323677839e-68,"IFI44L","9","Up in KO"
7.56823485084598e-72,3.94484003156445,0.404,0.03,2.27887119593823e-67,"HSD17B2","9","Up in KO"
8.78961298800422e-72,4.00508864313107,0.495,0.069,2.64664036681795e-67,"STAT1","9","Up in KO"
1.80381023454933e-71,4.58838498242169,0.444,0.047,5.43145299725149e-67,"HIST1H1E","9","Up in KO"
1.48400671707388e-70,3.99392559078348,0.487,0.068,4.46849262578116e-66,"PIP5K1B","9","Up in KO"
3.41467009247484e-70,4.10527623626952,0.466,0.057,1.0281913115451e-65,"IFITM2","9","Up in KO"
2.21347129055012e-69,7.52205027139555,0.296,0.003,6.66498340297546e-65,"TEX41","9","Up in KO"
7.72354849531289e-69,4.38878088391207,0.43,0.045,2.32563768742367e-64,"PRTG","9","Up in KO"
2.08275493847067e-68,-2.28163546926549,0.458,0.877,6.27138339522902e-64,"CKB","9","Down in KO"
2.98115547723543e-68,-1.49727832767495,0.776,0.971,8.9765572575036e-64,"SOX4","9","Down in KO"
5.90343659186857e-68,-1.77257619538978,0.715,0.924,1.77758379217754e-63,"CCNI","9","Down in KO"
4.94574097865542e-67,2.59251483958696,0.729,0.253,1.48921206608293e-62,"ID3","9","Up in KO"
1.08162038471191e-66,1.37624569802415,0.996,0.97,3.25686714040602e-62,"RPLP1","9","Up in KO"
1.25959045109934e-66,-4.90529711921745,0.061,0.676,3.79275280730522e-62,"SP9","9","Down in KO"
4.82167701804577e-66,2.95228720824781,0.621,0.16,1.45185516690376e-61,"ID1","9","Up in KO"
3.76646210831814e-65,3.98272732785641,0.567,0.132,1.13411940543568e-60,"HDAC9","9","Up in KO"
3.926221911643e-65,3.09587112973153,0.588,0.133,1.18222467981482e-60,"NFIA","9","Up in KO"
5.13192009307779e-65,-1.81263804559772,0.657,0.92,1.54527245922665e-60,"SOX11","9","Down in KO"
5.06406619957844e-64,-2.16369697957952,0.581,0.907,1.52484097335506e-59,"TUBB2A","9","Down in KO"
5.33378150712223e-64,3.83090485509509,0.437,0.054,1.60605494960958e-59,"BAMBI","9","Up in KO"
4.26567863865326e-63,-1.78285069972989,0.556,0.896,1.28443849488488e-58,"OLA1","9","Down in KO"
4.30547524724905e-62,-3.01859251907467,0.173,0.738,1.29642165169916e-57,"OCIAD2","9","Down in KO"
1.36714842686919e-61,6.01642878382562,0.31,0.015,4.11662062814582e-57,"HERC5","9","Up in KO"
5.43754689322059e-61,-1.31621806456865,0.968,0.988,1.63729974501765e-56,"TMSB10","9","Down in KO"
7.43272454046143e-61,-2.42632597382719,0.365,0.851,2.23806768637834e-56,"TENM2","9","Down in KO"
7.5541829607045e-61,3.41791076186116,0.433,0.057,2.27464003129773e-56,"MX1","9","Up in KO"
2.13750992303015e-60,2.96045933745157,0.632,0.197,6.43625612923607e-56,"PCP4","9","Up in KO"
2.15070791523727e-60,1.98893649640687,0.856,0.545,6.47599660357094e-56,"HSP90B1","9","Up in KO"
2.31148149040814e-60,-1.82278370235027,0.513,0.872,6.96010191576795e-56,"UBE2E3","9","Down in KO"
3.46097427886998e-60,-1.81585792918706,0.61,0.933,1.04213396511054e-55,"TUBB2B","9","Down in KO"
5.17821269089528e-60,5.10299369117605,0.336,0.024,1.55921162335548e-55,"CFI","9","Up in KO"
8.23048285335435e-60,2.56293173947062,0.729,0.326,2.47828069197353e-55,"TBC1D5","9","Up in KO"
1.97455105719518e-59,5.64384887593127,0.296,0.013,5.94557068832041e-55,"PARP14","9","Up in KO"
1.74419929451357e-58,4.71177338978433,0.314,0.018,5.25195849570981e-54,"EMX2","9","Up in KO"
9.63318483802828e-58,-1.86782587889261,0.473,0.854,2.9006482865787e-53,"DYNC1I2","9","Down in KO"
2.44762936533865e-57,-1.67518753520875,0.484,0.889,7.37005678197122e-53,"CD24","9","Down in KO"
3.96085747758049e-57,-1.29461530866284,0.968,0.977,1.19265379507426e-52,"ACTB","9","Down in KO"
