"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster","significance"
3.39168426962954e-78,3.0963370627891,0.992,0.351,1.02127005042815e-73,"IFI27","16","Up in KO"
5.40830151437601e-68,2.61403562504329,0.985,0.48,1.62849366899376e-63,"B2M","16","Up in KO"
4.3076493813254e-56,-2.50377090459716,0.418,0.934,1.29707630521089e-51,"TUBA1A","16","Down in KO"
2.45595462250555e-54,2.86683313684629,0.866,0.24,7.39512496382647e-50,"PTGDS","16","Up in KO"
1.15661761921441e-52,2.35611859625653,0.931,0.443,3.48269131321652e-48,"IFITM3","16","Up in KO"
2.26551971987688e-48,5.06546336740462,0.636,0.033,6.82170642852127e-44,"BST2","16","Up in KO"
3.71276531986161e-48,1.27656676778897,0.992,0.956,1.11795076546353e-43,"RPLP1","16","Up in KO"
2.40557303670043e-42,2.02907492616715,0.893,0.446,7.24342097080867e-38,"IFI6","16","Up in KO"
5.88107603725248e-41,2.4044573985101,0.831,0.332,1.77085080557709e-36,"ISG15","16","Up in KO"
5.75223878803209e-39,3.53128072776468,0.617,0.074,1.73205662146434e-34,"IFITM1","16","Up in KO"
7.15717180958638e-36,-3.49988006922189,0.103,0.613,2.15509600358456e-31,"FABP7","16","Down in KO"
5.47100284876308e-35,3.14003760385584,0.636,0.137,1.64737366779105e-30,"HLA-B","16","Up in KO"
5.47561332286351e-35,1.64294862478355,0.931,0.461,1.64876192764743e-30,"MALAT1","16","Up in KO"
4.44796996229588e-32,5.81385281262842,0.452,0.022,1.33932823534691e-27,"CXCL14","16","Up in KO"
5.34703309485686e-32,2.09095176630841,0.736,0.247,1.61004513519235e-27,"APOE","16","Up in KO"
1.89475495906486e-31,-2.76579846624011,0.199,0.653,5.70529665724021e-27,"CKB","16","Down in KO"
1.37800522212844e-30,-3.27426083972342,0.084,0.546,4.14931152435095e-26,"TUBB2B","16","Down in KO"
1.83235170411126e-30,-2.90368932956158,0.142,0.605,5.51739421624942e-26,"MARCKS","16","Down in KO"
1.23317999193721e-29,2.25133039278849,0.644,0.173,3.71322827372213e-25,"PCP4","16","Up in KO"
