"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster","significance"
1.14413109387191e-80,-9.81235094173193,0,0.763,3.44509313675771e-76,"S100A6","15","Down in KO"
1.14077978125987e-79,-4.84607695372843,0.045,0.859,3.43500199935161e-75,"ECRG4","15","Down in KO"
2.43678462508074e-70,4.38698395985364,1,0.462,7.33740218458061e-66,"IFI27","15","Up in KO"
1.26968862684934e-60,-4.71603408336667,0.032,0.686,3.82315942430605e-56,"LINC02609","15","Down in KO"
1.50596776940941e-60,3.88150944365003,0.952,0.327,4.53461955046868e-56,"BST2","15","Up in KO"
1.95271835542498e-56,1.58480197405227,1,1,5.87983024002016e-52,"B2M","15","Up in KO"
1.04914196741669e-54,-4.79362553841255,0.13,0.776,3.1590713780884e-50,"UBE2C","15","Down in KO"
1.94468321892515e-54,-5.74160260295919,0.005,0.564,5.85563564050553e-50,"AC092957.1","15","Down in KO"
4.53152248030651e-53,1.81146280715457,1,0.917,1.36448673404509e-48,"IFI6","15","Up in KO"
4.55152843579917e-51,-5.0050780187211,0.013,0.558,1.37051072730349e-46,"CLEC11A","15","Down in KO"
6.15551900706433e-51,2.66897817330746,0.955,0.462,1.85348832821714e-46,"IFITM1","15","Up in KO"
1.43100669477159e-50,-3.07050594852713,0.271,0.897,4.30890425862673e-46,"CDK1","15","Down in KO"
1.32270954898345e-49,-1.60074168709362,0.931,1,3.98281072294407e-45,"TUBA1B","15","Down in KO"
3.21598954786441e-49,-3.46814225071667,0.111,0.737,9.68366612757453e-45,"ZIC1","15","Down in KO"
8.21639669850502e-49,1.92724949330831,0.995,0.827,2.47403920988685e-44,"HLA-B","15","Up in KO"
1.88820489910317e-46,2.13173029103936,0.952,0.699,5.68557377168955e-42,"HLA-C","15","Up in KO"
2.22130950329287e-46,-3.85607397440289,0.088,0.667,6.68858504536517e-42,"BIRC5","15","Down in KO"
2.45466968577371e-46,2.15898773547568,0.95,0.494,7.39125589083322e-42,"ISG15","15","Up in KO"
4.24525021793668e-44,-3.56499898192528,0.029,0.545,1.27828729312291e-39,"EMC10","15","Down in KO"
1.28408530931393e-43,-4.70507367915353,0.013,0.494,3.86650927487517e-39,"ZIC4","15","Down in KO"
3.2823588919002e-43,0.708608465486257,1,1,9.88351085940068e-39,"RPL28","15","Up in KO"
2.49205359161399e-42,1.31728485794607,1,0.955,7.50382256970887e-38,"IFITM3","15","Up in KO"
1.06810667641591e-40,0.75570465798625,1,1,3.21617601335595e-36,"RPL29","15","Up in KO"
6.68264339738214e-40,-3.26146356107799,0.18,0.75,2.01221075338574e-35,"CKS2","15","Down in KO"
7.79364547558507e-40,-7.5942856403245,0,0.41,2.34674458915342e-35,"TUSC1","15","Down in KO"
1.92783486976038e-38,-3.55728414930948,0.05,0.538,5.80490357633549e-34,"CCNA2","15","Down in KO"
5.84267262882078e-38,-1.01534528763775,0.997,1,1.75928715526423e-33,"ACTB","15","Down in KO"
2.3192219833884e-37,-3.16098816726037,0.106,0.641,6.9834093141808e-33,"AC004540.2","15","Down in KO"
4.75903929802648e-37,-3.59655209948955,0.061,0.545,1.43299432302875e-32,"CRNDE","15","Down in KO"
1.18031698463669e-36,-5.10393099263754,0.003,0.391,3.55405247243954e-32,"C19orf81","15","Down in KO"
5.93004036630067e-36,-2.71285993877445,0.109,0.635,1.7855944546968e-31,"PBK","15","Down in KO"
1.53220125440686e-35,-2.79838695295497,0.082,0.59,4.6136111971445e-31,"SPC25","15","Down in KO"
1.92419145175927e-35,-4.11148756617839,0.04,0.481,5.79393288039234e-31,"JAM2","15","Down in KO"
1.22558123301786e-34,-2.52239341584098,0.279,0.782,3.69034765074007e-30,"MGST1","15","Down in KO"
2.10330981736883e-34,0.651832336995221,0.997,1,6.33327619107928e-30,"RPL13","15","Up in KO"
4.30975481208127e-34,-4.42569094125702,0.027,0.436,1.29771027146579e-29,"CENPA","15","Down in KO"
8.37542127986289e-34,-5.45212799905892,0.005,0.372,2.52192310157952e-29,"JOSD2","15","Down in KO"
1.4950619113528e-33,-1.01705771348844,0.939,0.981,4.50178092127443e-29,"RPS10","15","Down in KO"
2.01218099614814e-33,1.93137480689749,0.897,0.667,6.05887819750167e-29,"LY6E","15","Up in KO"
2.68924295733146e-33,-4.22465386458523,0.019,0.41,8.09757946882076e-29,"DLGAP5","15","Down in KO"
5.58146981312533e-33,0.55861671558146,1,1,1.68063637543017e-28,"RPLP1","15","Up in KO"
1.48027971673892e-32,-3.0333923364955,0.26,0.756,4.45727025507256e-28,"TUBA1C","15","Down in KO"
3.71389379555713e-32,-5.13200906724411,0.011,0.372,1.11829056078021e-27,"CDCA3","15","Down in KO"
4.76669593080094e-32,-2.8420172145752,0.204,0.699,1.43529981172347e-27,"TOP2A","15","Down in KO"
5.15235962370485e-32,-2.52321131210943,0.074,0.551,1.55142700629377e-27,"NOVA1","15","Down in KO"
9.17038291951287e-32,-2.38280005459738,0.313,0.84,2.76129400089452e-27,"PTN","15","Down in KO"
2.02466387696603e-31,-4.01081826848847,0.013,0.378,6.0964653999324e-27,"FOXM1","15","Down in KO"
5.69041760463825e-31,-2.00137985261319,0.48,0.891,1.71344164493262e-26,"UBE2S","15","Down in KO"
8.57939299308656e-31,1.01181230892325,0.979,0.962,2.58334102414829e-26,"PDIA3","15","Up in KO"
1.45605632837713e-30,-3.48255324119339,0.072,0.5,4.38433121037639e-26,"CCNB2","15","Down in KO"
1.82393487036174e-30,-1.97422486449166,0.48,0.904,5.49205028814625e-26,"JPT1","15","Down in KO"
2.14832814554977e-30,-4.54154512388478,0.04,0.429,6.46883087906491e-26,"CDC20","15","Down in KO"
3.48623567310163e-30,0.564723337172363,1,1,1.04974042352763e-25,"RPS14","15","Up in KO"
4.66180338907707e-30,-7.28410196968145,0,0.314,1.403715618485e-25,"ECHDC3","15","Down in KO"
1.85892549333177e-29,2.53000123836502,0.751,0.314,5.59741055297131e-25,"PLSCR1","15","Up in KO"
4.39835571074546e-29,0.472193672042571,1,1,1.32438888806257e-24,"RPS15","15","NS"
6.68854747590882e-29,-0.908994394247591,0.958,0.994,2.0139885304709e-24,"HMGB1","15","Down in KO"
8.56236458406563e-29,-7.38231837529753,0,0.301,2.578213599908e-24,"PLK1","15","Down in KO"
1.2041867762837e-28,0.875563621135009,1,1,3.62592680206784e-24,"MALAT1","15","Up in KO"
1.23088864859518e-28,-2.21460075245967,0.284,0.763,3.70632880978493e-24,"CDKN3","15","Down in KO"
1.34973291235353e-28,-0.773594652582555,0.997,1,4.0641807723877e-24,"H2AFZ","15","Down in KO"
1.88645731301867e-28,0.679866710548152,1,0.994,5.68031161523052e-24,"RPS18","15","Up in KO"
5.56928823354981e-28,-2.85485297837525,0.048,0.442,1.67696838000418e-23,"DEPDC1B","15","Down in KO"
9.71942787862762e-28,-1.03319367821212,0.801,0.994,2.92661692853356e-23,"MICOS10","15","Down in KO"
2.12199945051615e-27,-3.05784061201813,0.058,0.455,6.38955254544919e-23,"GTSE1","15","Down in KO"
2.4614572764481e-27,0.5734262107396,0.997,1,7.41169400511288e-23,"RPL26","15","Up in KO"
2.77307658625531e-27,-3.25564136143917,0.156,0.596,8.35001090887337e-23,"KPNA2","15","Down in KO"
2.94902365391488e-27,1.96128002662435,0.817,0.506,8.87980512430311e-23,"HDAC9","15","Up in KO"
3.61091380198889e-27,-2.57924251313697,0.117,0.551,1.08728225491687e-22,"RRM2","15","Down in KO"
3.72404793233475e-27,2.78592878760188,0.682,0.186,1.12134807290532e-22,"IFI44L","15","Up in KO"
5.59118367567934e-27,-3.44572459418232,0.058,0.442,1.68356131658381e-22,"TROAP","15","Down in KO"
1.22832037277064e-26,-1.97341545842615,0.125,0.59,3.69859547444967e-22,"TSTD1","15","Down in KO"
2.76643414123273e-26,-1.80087523944783,0.225,0.724,8.33000984266588e-22,"H2AFX","15","Down in KO"
3.01602342708292e-26,1.01526514151973,0.966,0.923,9.08154814128938e-22,"NCL","15","Up in KO"
3.48503369389016e-26,0.658795664870254,1,1,1.04937849556726e-21,"RPL12","15","Up in KO"
4.8930874448266e-26,-1.64477802481322,0.637,0.923,1.47335756051174e-21,"HMGB2","15","Down in KO"
5.15595556020399e-26,-7.72330747650301,0.003,0.282,1.55250977873302e-21,"SFRP2","15","Down in KO"
7.23831134668798e-26,-1.16798448663165,0.708,0.962,2.17952792960122e-21,"GGH","15","Down in KO"
9.10174854191642e-26,-0.721481950226095,0.947,1,2.74062750345645e-21,"COX8A","15","Down in KO"
1.72278583555405e-25,1.70516860527489,0.825,0.577,5.1874804294368e-21,"ZFYVE16","15","Up in KO"
1.82375148598639e-25,3.84602849237486,0.568,0.083,5.49149809945362e-21,"EMX2","15","Up in KO"
2.1263801223358e-25,-0.904407047079359,0.907,0.987,6.40274318636532e-21,"NDUFB1","15","Down in KO"
2.30531724703992e-25,-1.50415597489978,0.454,0.885,6.94154076256191e-21,"UBE2T","15","Down in KO"
2.8654883208157e-25,-2.95580933888449,0.061,0.436,8.62827188280815e-21,"NDC80","15","Down in KO"
4.62242285342285e-25,-1.16023092379788,0.942,0.981,1.39185774539415e-20,"IGFBP7","15","Down in KO"
1.2086403877284e-24,1.80871074867187,0.841,0.603,3.63933707148898e-20,"PLS3","15","Up in KO"
2.03084577130563e-24,-1.52774966737426,0.403,0.84,6.1150797019784e-20,"CENPW","15","Down in KO"
2.13244232216596e-24,-4.68590394415134,0.013,0.301,6.42099707627393e-20,"BAALC","15","Down in KO"
2.32548019838917e-24,-2.2901210459278,0.565,0.904,7.00225342536962e-20,"ARL6IP1","15","Down in KO"
2.34166487911109e-24,1.29898512684971,0.923,0.769,7.05098711749141e-20,"HLA-A","15","Up in KO"
3.10573102590162e-24,-1.57185273815447,0.438,0.878,9.35166669209237e-20,"TMSB15A","15","Down in KO"
4.60093638175794e-24,-2.05338292770738,0.292,0.712,1.38538795391113e-19,"NUSAP1","15","Down in KO"
7.02828711171262e-24,-0.904658066369784,0.881,0.987,2.11628753220779e-19,"SNRPG","15","Down in KO"
8.78708550609117e-24,-2.82707912185658,0.053,0.404,2.64587931673911e-19,"TUBB2A","15","Down in KO"
9.96608630650743e-24,-2.51975489006044,0.101,0.506,3.00088824775245e-19,"COL1A2","15","Down in KO"
1.0271243362268e-23,0.973179983608077,0.984,0.949,3.09277408881252e-19,"HSP90B1","15","Up in KO"
1.19850427390883e-23,0.776339731737056,0.992,1,3.60881621916687e-19,"HSP90AB1","15","Up in KO"
1.45657468170401e-23,-0.750409475781305,0.926,0.994,4.38589202407894e-19,"RAN","15","Down in KO"
2.64818321196103e-23,-3.23166278840264,0.042,0.372,7.97394446953587e-19,"CADPS2","15","Down in KO"
3.8765196194915e-23,-5.25012309256979,0.005,0.263,1.16725882262508e-18,"AURKB","15","Down in KO"
3.94388908151929e-23,-0.760785296485116,0.984,0.994,1.18754444133627e-18,"TMSB10","15","Down in KO"
4.57345025040671e-23,-0.919272989602645,0.973,1,1.37711160489996e-18,"STMN1","15","Down in KO"
4.76309974295342e-23,-2.43270439302499,0.082,0.455,1.4342169636007e-18,"NUF2","15","Down in KO"
6.15065369349914e-23,-2.15381587113148,1,1,1.85202333364953e-18,"TTR","15","Down in KO"
