"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster","significance"
1.94001242218448e-139,-7.66432311300248,0.012,0.867,5.84157140443969e-135,"AL353747.4","12","Down in KO"
1.09550171533698e-135,-8.02649694649164,0.012,0.847,3.29866521505118e-131,"AC092957.1","12","Down in KO"
1.41534670814565e-118,-5.830103897816,0.038,0.828,4.26175047289738e-114,"TMEM158","12","Down in KO"
8.91388046706798e-107,-5.00879464572984,0.084,0.837,2.68405854743884e-102,"DNER","12","Down in KO"
1.46840273583161e-106,-4.21989508792735,0.175,0.936,4.42150747786255e-102,"TUBB2A","12","Down in KO"
5.9890391153481e-105,-6.42908689088311,0.008,0.69,1.80335956802247e-100,"ZMAT4","12","Down in KO"
1.24827585393371e-103,-3.79225639030697,0.224,0.946,3.75868342377978e-99,"TUBB2B","12","Down in KO"
3.61474348951244e-103,-7.70230371085033,0.005,0.665,1.08843541212709e-98,"PAX3","12","Down in KO"
2.04837376718924e-101,-3.80168320765404,0.168,0.916,6.16785825038352e-97,"ZIC1","12","Down in KO"
5.23659159670042e-100,-3.75465667125569,0.167,0.921,1.57679009568246e-95,"COL1A2","12","Down in KO"
3.22738667833244e-97,-3.60178018609768,0.38,0.975,9.71798402712682e-93,"GPM6B","12","Down in KO"
1.51105259392321e-96,-7.19482008674547,0.005,0.631,4.54993046556217e-92,"AC092958.1","12","Down in KO"
3.63043562909267e-95,-6.39052882928138,0.015,0.65,1.09316047227609e-90,"TAGLN3","12","Down in KO"
4.86457870231427e-95,-3.52346856081296,0.705,0.985,1.46477329305385e-90,"PTN","12","Down in KO"
1.69963063006426e-94,-5.7954508085482,0.015,0.65,5.11775779018649e-90,"EDNRB","12","Down in KO"
1.17359960050605e-91,-3.76296794440656,0.092,0.803,3.53382575708375e-87,"CRNDE","12","Down in KO"
1.51525806279254e-90,-4.94604578988008,0.109,0.813,4.56259355287463e-86,"DLK1","12","Down in KO"
1.92542900499691e-89,-6.59694607837481,0.012,0.611,5.7976592769462e-85,"CPNE4","12","Down in KO"
1.0209659883468e-88,-7.1413242095255,0.007,0.591,3.07423068751106e-84,"ZEB2","12","Down in KO"
4.51444375211927e-88,-7.99037526530295,0.003,0.576,1.35934415820063e-83,"C2orf80","12","Down in KO"
1.52836148359711e-87,-3.77529313351843,0.078,0.768,4.60204926325927e-83,"CXCR4","12","Down in KO"
2.90941017991264e-87,-3.93845876897444,0.107,0.793,8.76052499273494e-83,"PPP1R14C","12","Down in KO"
8.10672762284559e-87,-7.02266119272173,0.003,0.571,2.44101675451503e-82,"RGCC","12","Down in KO"
1.64145486430949e-82,-4.55574344040203,0.038,0.65,4.9425847419223e-78,"GREB1L","12","Down in KO"
3.84243468078299e-82,-3.73145796577663,0.135,0.818,1.15699550673057e-77,"NOVA1","12","Down in KO"
8.19869714203785e-82,-1.75207568981066,0.969,1,2.46870969643902e-77,"VIM","12","Down in KO"
1.50030525438222e-81,-2.77508317330337,0.568,0.99,4.51756915147032e-77,"GNG11","12","Down in KO"
2.7277600116981e-81,-2.68331821114,0.525,0.985,8.21355817122416e-77,"MARCKS","12","Down in KO"
5.57246889106253e-81,-3.7469908983654,0.158,0.828,1.67792610778784e-76,"RCAN1","12","Down in KO"
6.34833745338554e-80,3.95690626433518,0.936,0.414,1.91154789058892e-75,"PLS3","12","Up in KO"
1.8542532240832e-79,-4.23170116358529,0.053,0.675,5.58334188303694e-75,"ECRG4","12","Down in KO"
3.21278870177382e-79,-7.22641388502451,0.003,0.527,9.67402805991114e-75,"AC092958.4","12","Down in KO"
7.91878758634009e-79,3.96521138178827,0.929,0.158,2.38442613012286e-74,"PCP4","12","Up in KO"
5.51650823921953e-78,-2.83400146561475,0.546,0.961,1.66107579591139e-73,"BCKDHB","12","Down in KO"
1.22250109824994e-77,4.43008352108872,0.898,0.133,3.6810730569404e-73,"KRT18","12","Up in KO"
4.01099675311325e-77,-6.09523022189104,0.01,0.537,1.20775123232993e-72,"MEIS1","12","Down in KO"
5.23133851535721e-77,-3.30442073436742,0.081,0.724,1.57520834035921e-72,"JAM2","12","Down in KO"
2.50723351749675e-76,-4.66640822394646,0.028,0.591,7.54953084453445e-72,"FAT3","12","Down in KO"
4.69538354920769e-76,-4.35698555626131,0.061,0.66,1.41382694050193e-71,"GATM","12","Down in KO"
5.16827731685183e-76,4.57767534677181,0.904,0.187,1.55621998287725e-71,"WIF1","12","Up in KO"
6.05689303522185e-76,1.45388725183876,0.997,0.995,1.82379106183565e-71,"GSTP1","12","Up in KO"
1.56793636450921e-75,-4.42802238559521,0.045,0.626,4.72121318717369e-71,"SDC3","12","Down in KO"
2.26738505736101e-75,-2.81974396432494,0.353,0.926,6.82732314621974e-71,"MGST1","12","Down in KO"
4.39413859282268e-75,-2.99353075926915,0.153,0.828,1.32311907168484e-70,"FBLN5","12","Down in KO"
4.81340458373107e-75,-5.49757003736874,0.012,0.532,1.44936425420726e-70,"FIGN","12","Down in KO"
7.96511218039021e-75,-5.5039089326661,0.028,0.571,2.3983749286373e-70,"GRID2","12","Down in KO"
2.17282453541842e-74,-3.85229511435071,0.043,0.626,6.54259195859841e-70,"SLAIN1","12","Down in KO"
2.45105877442993e-74,-1.91607577214384,0.899,0.995,7.38038307568595e-70,"TUBA1B","12","Down in KO"
3.48648378328471e-74,-4.65114411225984,0.015,0.537,1.04981513198486e-69,"CDH20","12","Down in KO"
8.50324536975318e-74,4.77185308258497,0.87,0.143,2.56041221328638e-69,"HDAC9","12","Up in KO"
2.49227509783943e-73,-3.13899857283214,0.158,0.803,7.5044895471043e-69,"BAALC","12","Down in KO"
1.83380777819181e-72,-3.17997454095616,0.135,0.773,5.52177860091336e-68,"RFX4","12","Down in KO"
3.87376792576315e-71,-2.17813923493109,0.787,0.99,1.16643026012654e-66,"TUBA1A","12","Down in KO"
2.17499025687856e-67,-4.3239828806954,0.076,0.64,6.54911316248702e-63,"NPPC","12","Down in KO"
1.1687511759749e-65,-6.16945696111145,0.005,0.453,3.51922666597804e-61,"IRX3","12","Down in KO"
6.06225792647689e-65,-1.33245288485637,0.972,1,1.82540648424146e-60,"HMGB1","12","Down in KO"
7.26363476490682e-65,6.11042547908256,0.792,0.044,2.18715306406109e-60,"CXCL14","12","Up in KO"
1.06952554908758e-64,-5.58287535364235,0.017,0.483,3.22044838085761e-60,"COL23A1","12","Down in KO"
3.40764946786228e-64,-1.1096791754877,0.992,0.995,1.02607733126801e-59,"TMSB10","12","Down in KO"
6.56191890559712e-64,1.70550662835855,0.964,0.897,1.97585940166435e-59,"PDIA3","12","Up in KO"
6.69570494287646e-64,-4.67518033026421,0.028,0.517,2.01614371534953e-59,"GDF10","12","Down in KO"
1.0127486897828e-63,5.22456742534525,0.789,0.064,3.04948757980499e-59,"RSPO2","12","Up in KO"
3.39834461634219e-63,-2.278808587548,0.614,0.961,1.0232755474268e-58,"JPT1","12","Down in KO"
3.73206914346052e-63,1.52350355051288,1,0.985,1.1237633397874e-58,"MALAT1","12","Up in KO"
4.81753642658449e-63,-4.19833906204435,0.035,0.532,1.45060839340886e-58,"EMC10","12","Down in KO"
5.046851055632e-63,-2.19476645544922,0.703,0.97,1.51965732136135e-58,"METRN","12","Down in KO"
1.65382999503876e-62,-4.21801123367026,0.023,0.498,4.97984749806121e-58,"ADGRB3","12","Down in KO"
1.91492171423207e-61,-5.76015535266713,0.012,0.448,5.76602077372419e-57,"EBF1","12","Down in KO"
2.16839166957505e-61,-4.48771069174017,0.028,0.502,6.52924415625742e-57,"ADCY2","12","Down in KO"
4.10420471082586e-61,-6.93751244142335,0.003,0.419,1.23581708047677e-56,"THBS2","12","Down in KO"
3.27023171164532e-60,5.64724529140287,0.772,0.084,9.84699470693522e-56,"IGFBP3","12","Up in KO"
4.36304276206741e-60,-2.20449497836633,0.371,0.897,1.31375580608612e-55,"FEZ1","12","Down in KO"
8.19484689637309e-60,3.1518838506593,0.858,0.296,2.4675503489669e-55,"BAMBI","12","Up in KO"
1.45343943105733e-59,-1.88846491553458,0.652,0.966,4.37645147085672e-55,"TTYH1","12","Down in KO"
1.46930364077228e-59,-2.19621129963329,0.698,0.975,4.42422019272943e-55,"TFPI2","12","Down in KO"
2.25512723729357e-59,8.13631211541967,0.726,0.005,6.79041362421466e-55,"EMX2","12","Up in KO"
3.14328307666999e-59,-1.36766493213966,0.845,0.995,9.46473967216101e-55,"RPS10","12","Down in KO"
3.37512474116712e-59,-1.67519911975753,0.766,0.985,1.01628381081283e-54,"CDK2AP1","12","Down in KO"
6.97589226020078e-59,4.49358946705722,0.779,0.133,2.10051091846906e-54,"PRTG","12","Up in KO"
1.46472427480989e-58,-2.49098499746979,0.431,0.901,4.41043126388006e-54,"CDK1","12","Down in KO"
6.22907411145265e-58,2.36272926877545,0.908,0.394,1.87563650569951e-53,"ECEL1","12","Up in KO"
2.67166314834601e-57,5.25553246728056,0.741,0.044,8.04464490598468e-53,"HSD17B2","12","Up in KO"
4.24617972867633e-57,-3.20515900758644,0.054,0.557,1.27856717810173e-52,"CNTFR","12","Down in KO"
1.45470840194085e-56,-3.17141687188413,0.086,0.616,4.38027246908408e-52,"DCLK1","12","Down in KO"
2.47169668722267e-56,-3.96773278411655,0.091,0.596,7.4425258948962e-52,"RBP4","12","Down in KO"
3.78599395849938e-56,-3.99032496222037,0.046,0.517,1.14000064084375e-51,"ETV5","12","Down in KO"
4.65916641486533e-56,3.17573793053129,0.837,0.429,1.4029215991801e-51,"MID1","12","Up in KO"
6.73746552769129e-56,-2.34685281391157,0.299,0.847,2.02871824504312e-51,"PDLIM4","12","Down in KO"
8.79374144931546e-56,-2.94736476125845,0.15,0.7,2.64788348780338e-51,"SLC1A3","12","Down in KO"
1.05417871452118e-55,3.2374098808743,0.82,0.266,3.17423752729473e-51,"CFI","12","Up in KO"
1.65214084544919e-55,-2.37326156470614,0.289,0.847,4.97476129973204e-51,"BIRC5","12","Down in KO"
3.55130691531245e-55,3.08776989991655,0.863,0.409,1.06933402526973e-50,"TRPM3","12","Up in KO"
3.60264228945147e-55,-5.70768538138725,0.028,0.458,1.08479161977673e-50,"QPCT","12","Down in KO"
5.41888988853995e-55,3.37266533089204,0.809,0.236,1.63168193433827e-50,"RMST","12","Up in KO"
1.35658310311657e-54,-3.53951565351048,0.051,0.522,4.08480738179429e-50,"PDE1A","12","Down in KO"
1.60549179049202e-54,-6.33778342201473,0.01,0.399,4.83429633035053e-50,"VCAM1","12","Down in KO"
1.79730622690839e-54,-1.46544046744802,0.886,0.99,5.41186877984385e-50,"HMGN2","12","Down in KO"
3.35298550974733e-54,-3.47216632847785,0.124,0.64,1.00961746684002e-49,"GFAP","12","Down in KO"
4.45345904853528e-54,-5.36300306987153,0.007,0.389,1.34098105410446e-49,"THSD4","12","Down in KO"
8.77469259985189e-54,-1.08091369799744,0.917,0.99,2.6421476887414e-49,"COX8A","12","Down in KO"
1.20049124981076e-53,-2.7168933274386,0.18,0.724,3.61479920230517e-49,"PBK","12","Down in KO"
