"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster","significance"
0,-6.14364482134871,0.049,0.865,0,"ECRG4","4","Down in KO"
0,-8.75001193597379,0.006,0.775,0,"S100A6","4","Down in KO"
0,3.31475209438542,0.907,0.324,0,"IFITM1","4","Up in KO"
0,4.49265558488849,0.985,0.429,0,"IFI27","4","Up in KO"
0,2.55053895391614,0.962,0.652,0,"HLA-B","4","Up in KO"
0,1.682221843883,0.999,0.996,0,"B2M","4","Up in KO"
1.20747852424594e-287,2.73823103019228,0.91,0.493,3.63583858435696e-283,"HLA-C","4","Up in KO"
1.96599099365384e-281,1.67237858616391,0.997,0.939,5.91979548099107e-277,"IFI6","4","Up in KO"
1.80886185739984e-279,1.78387598494423,0.992,0.908,5.44666393881665e-275,"IFITM3","4","Up in KO"
1.61826479652508e-267,2.91821577437979,0.889,0.298,4.87275712881666e-263,"BST2","4","Up in KO"
1.19921032915234e-256,-10.4824082626772,0,0.494,3.6109422221106e-252,"TUSC1","4","Down in KO"
9.70678753798732e-250,2.30341967582609,0.904,0.527,2.92281079556336e-245,"FAM89A","4","Up in KO"
2.08311389523117e-249,2.84702834685506,0.881,0.41,6.27246424993059e-245,"ISG15","4","Up in KO"
5.51952881670001e-246,1.01423195099551,0.997,0.989,1.66198532199654e-241,"RPS15","4","Up in KO"
1.49908370694999e-236,1.00482362517979,0.999,0.996,4.51389094999711e-232,"RPL28","4","Up in KO"
4.94371285003234e-235,1.04574265619595,0.999,0.994,1.48860137627324e-230,"RPL13","4","Up in KO"
3.90393366150253e-234,0.942426891851539,0.999,0.996,1.17551346481503e-229,"RPL32","4","Up in KO"
2.35750053689043e-231,-5.04229537938398,0.018,0.5,7.09866986663077e-227,"JOSD2","4","Down in KO"
1.16539256782649e-226,1.06533232403869,0.996,0.979,3.50911356098234e-222,"RPL29","4","Up in KO"
1.07578998215877e-225,0.784946314692321,1,0.997,3.23931121527828e-221,"RPLP1","4","Up in KO"
3.40255746438715e-224,1.00678977386499,0.997,0.987,1.02454407810162e-219,"RPL26","4","Up in KO"
2.90709474552949e-217,1.23880747211374,0.996,0.976,8.75355298826385e-213,"RPS18","4","Up in KO"
1.03800370241995e-214,-1.40699966104119,0.805,0.972,3.12553294835671e-210,"FBLN1","4","Down in KO"
2.46747356094034e-212,-5.60994949687433,0.006,0.439,7.42980963934745e-208,"AC092957.1","4","Down in KO"
5.18094195247888e-210,0.815261873397723,1,0.996,1.56003343131092e-205,"RPS24","4","Up in KO"
6.67213108135522e-209,0.831975648685123,0.999,0.997,2.00904538990687e-204,"RPS12","4","Up in KO"
1.02904454265156e-208,0.873227640675058,0.999,0.988,3.0985560223781e-204,"RPL8","4","Up in KO"
4.45622316641898e-207,0.987679555763742,0.998,0.992,1.34181335764042e-202,"RPL12","4","Up in KO"
1.07602915317779e-200,0.874694483486202,0.999,0.995,3.24003138313365e-196,"RPS15A","4","Up in KO"
1.75492485817467e-196,0.814671444728547,0.998,0.996,5.28425424044976e-192,"RPL10","4","Up in KO"
1.5173814199729e-194,-4.65023288883226,0.019,0.442,4.56898719368039e-190,"CLEC11A","4","Down in KO"
1.34747346760078e-185,0.90594887109291,0.997,0.984,4.05737735829271e-181,"RPS2","4","Up in KO"
