"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster","significance"
0,-9.94864548587383,0.01,0.911,0,"S100A6","5","Down in KO"
0,-5.86778672338749,0.012,0.632,0,"AC092957.1","5","Down in KO"
5.62929563355026e-269,-5.6221530153655,0.026,0.619,1.69503720821832e-264,"ECRG4","5","Down in KO"
2.30075218622521e-249,-5.20034413469,0.057,0.711,6.92779490794273e-245,"COL1A2","5","Down in KO"
4.10614016315794e-244,-4.57085605217806,0.071,0.746,1.23639986452849e-239,"ZIC1","5","Down in KO"
5.36696281360357e-212,-6.39363393592165,0.005,0.403,1.61604617280417e-207,"C19orf81","5","Down in KO"
1.06057452364324e-209,-5.60833265588828,0.009,0.429,3.19349594814215e-205,"CLEC11A","5","Down in KO"
1.13483936302518e-208,-4.97309493881563,0.017,0.476,3.41711480600511e-204,"ZIC4","5","Down in KO"
3.20084339535923e-205,-4.37637650497558,0.026,0.521,9.63805954776619e-201,"EMC10","5","Down in KO"
7.76187277050396e-175,-5.01716300379878,0.01,0.378,2.33717750992645e-170,"JOSD2","5","Down in KO"
4.67595544207965e-173,-6.81423557129229,0.006,0.343,1.4079769431646e-168,"SERPINA5","5","Down in KO"
5.55984127949561e-173,-10.2915136250197,0,0.295,1.67412380766892e-168,"TUSC1","5","Down in KO"
2.45834595182264e-156,-6.13781870177371,0.003,0.295,7.40232549553315e-152,"AC092958.1","5","Down in KO"
6.13818142636408e-126,-9.2926074731588,0,0.216,1.84826780929249e-121,"ECHDC3","5","Down in KO"
1.38388553551987e-119,-8.83853698460705,0.002,0.222,4.16701773600387e-115,"COL3A1","5","Down in KO"
1.01928649625103e-115,-7.41793039007196,0.002,0.213,3.06917356886148e-111,"SOST","5","Down in KO"
1.50386732845225e-114,-3.07513426725505,0.144,0.657,4.52829491270258e-110,"MGST1","5","Down in KO"
9.94233074142462e-112,-6.08380391311328,0.003,0.219,2.99373520955037e-107,"LRRC4B","5","Down in KO"
4.00204556014043e-110,-7.43769862084402,0.003,0.213,1.20505593861389e-105,"VCAM1","5","Down in KO"
2.70404860378101e-108,-4.79387501300947,0.007,0.241,8.14216075084499e-104,"RLF","5","Down in KO"
4.51073356474824e-108,0.941711095605849,0.999,0.994,1.35822698368134e-103,"RPS15","5","Up in KO"
6.38622047502591e-105,1.10244542378185,0.997,0.981,1.92295484723505e-100,"RPS19","5","Up in KO"
7.03915466571604e-105,0.956581995655811,1,0.997,2.11955986139376e-100,"RPL13","5","Up in KO"
2.75448093208425e-102,-4.32202938510701,0.035,0.359,8.29401753459888e-98,"LINC02609","5","Down in KO"
2.40001283756139e-101,-6.95035707449467,0.004,0.206,7.22667865518109e-97,"RGCC","5","Down in KO"
7.77172440429486e-100,1.03962545303834,0.997,0.968,2.34014393537723e-95,"RPL29","5","Up in KO"
5.03319487089837e-99,-1.06397771899432,0.97,0.994,1.51554530757621e-94,"ATP5F1E","5","Down in KO"
3.6613682474805e-98,-3.46460332961788,0.121,0.571,1.10247459299885e-93,"CYP1B1","5","Down in KO"
5.06213518947932e-98,2.39587201172811,0.901,0.346,1.52425952690412e-93,"BST2","5","Up in KO"
7.9881875122066e-97,-3.45030729563849,0.061,0.435,2.40532314180053e-92,"RCAN1","5","Down in KO"
1.01572517304191e-95,-6.86807012544543,0.003,0.19,3.05845006854648e-91,"CHCHD2","5","Down in KO"
2.05723411083865e-95,2.60839304567026,0.881,0.403,6.19453763114625e-91,"HDAC9","5","Up in KO"
1.48640932800892e-94,-3.37237845811589,0.081,0.476,4.47572712756766e-90,"ALG9","5","Down in KO"
4.64900760675302e-94,1.00769216016,0.999,0.997,1.3998626804694e-89,"RPS18","5","Up in KO"
4.59886972405768e-93,-3.18095727564223,0.092,0.502,1.38476566261101e-88,"PTPRD","5","Down in KO"
4.89564591059165e-92,1.74490117177772,0.991,0.606,1.47412794013825e-87,"IFI27","5","Up in KO"
9.13006354552105e-91,-1.71885513874079,0.62,0.902,2.74915343419184e-86,"NDUFB1","5","Down in KO"
1.28144614859548e-87,-3.26761909015302,0.048,0.375,3.85856249803584e-83,"CADPS2","5","Down in KO"
1.29864424441377e-86,2.71599037431381,0.848,0.381,3.9103476843543e-82,"VEGFA","5","Up in KO"
3.89110153085729e-86,-6.0779215412688,0.001,0.159,1.17164958195644e-81,"CFLAR","5","Down in KO"
