"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster","significance"
0,-11.3304285373924,0.001,0.744,0,"S100A6","6","Down in KO"
0,-5.38861927099842,0.027,0.767,0,"AC092957.1","6","Down in KO"
4.8314779924169e-296,-7.4969424650172,0.008,0.592,1.45480633829665e-291,"WNT1","6","Down in KO"
2.64542140618992e-289,-4.04730957630156,0.16,0.922,7.96562839617847e-285,"ZIC1","6","Down in KO"
1.08753443545971e-274,-6.57003017211218,0.027,0.63,3.27467493861274e-270,"GDF10","6","Down in KO"
9.03661332907294e-272,-6.58299344750599,0.02,0.599,2.72101463951715e-267,"TMEM158","6","Down in KO"
1.59175369242583e-267,-4.93005641335346,0.045,0.684,4.79292954326341e-263,"PPP1R14C","6","Down in KO"
2.02643868460259e-266,-4.14775498333603,0.196,0.915,6.10180952320686e-262,"MGST1","6","Down in KO"
5.00984451819931e-266,-6.20957858335947,0.008,0.54,1.50851428287499e-261,"CLEC11A","6","Down in KO"
1.42880565855779e-260,-5.81911923873819,0.012,0.552,4.30227671848335e-256,"PAX3","6","Down in KO"
7.0462841513737e-255,-4.42614852070512,0.045,0.668,2.12170662082014e-250,"CRNDE","6","Down in KO"
4.94414456422746e-249,-5.99757152130542,0.048,0.648,1.48873136973453e-244,"RBP4","6","Down in KO"
1.2379967360234e-236,-3.95818672417237,0.097,0.758,3.72773197184006e-232,"BAALC","6","Down in KO"
4.85204731005681e-236,-5.1195563676944,0.024,0.563,1.46099996553121e-231,"CD24","6","Down in KO"
2.50360132900478e-234,-3.73258838919497,0.12,0.807,7.5385939617663e-230,"RFX4","6","Down in KO"
1.61916456109492e-229,-6.56224420253987,0.006,0.469,4.87546640991292e-225,"AC092958.1","6","Down in KO"
3.18334091176006e-228,-4.8506647579806,0.031,0.572,9.5853578194007e-224,"CADPS2","6","Down in KO"
2.88706464261341e-227,-4.65642480967862,0.021,0.538,8.69324034537323e-223,"AC092958.4","6","Down in KO"
4.42332854426398e-224,-4.61308201958462,0.025,0.547,1.33190845796333e-219,"EMC10","6","Down in KO"
6.12878186959753e-221,-4.10208128444922,0.046,0.614,1.84543750875451e-216,"JAM2","6","Down in KO"
3.65702367526201e-216,-4.93476202507096,0.027,0.534,1.10116639885814e-211,"GREB1L","6","Down in KO"
