"cluster","Total_DEGs","Up_in_KO","Down_in_KO"
"0",1852,767,1085
"1",3237,1138,2099
"10",1068,526,542
"11",1645,421,1224
"12",2349,581,1768
"13",1882,214,1668
"14",1241,329,912
"15",998,187,811
"16",261,136,125
"17",43,38,5
"2",502,178,324
"3",2427,1414,1013
"4",1620,1139,481
"5",2003,496,1507
"6",2780,637,2143
"7",1679,417,1262
"8",3009,773,2236
"9",1664,692,972
