"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster","significance"
0,-6.73271981260774,0.012,0.71,0,"DPYSL3","8","Down in KO"
2.06635663098346e-307,-5.46118950949297,0.033,0.838,6.22200645155428e-303,"CD24","8","Down in KO"
7.64923156715273e-292,-6.13287249037876,0.037,0.824,2.30326011718536e-287,"ROBO1","8","Down in KO"
3.0797360764483e-264,-8.12482835493668,0.003,0.548,9.27339329979349e-260,"ZEB2","8","Down in KO"
6.24025818309702e-251,-6.80830497388145,0.011,0.59,1.87900414151235e-246,"AC092957.1","8","Down in KO"
2.28202357200263e-246,-7.19065710710726,0.004,0.524,6.87140117765711e-242,"SP9","8","Down in KO"
7.15291631017635e-246,-7.35961292980632,0.004,0.519,2.1538146301572e-241,"SHOX2","8","Down in KO"
9.21873944799939e-239,-6.70336998752663,0.004,0.514,2.7758546351871e-234,"OLIG3","8","Down in KO"
1.38159085393562e-231,-5.85807677271485,0.014,0.581,4.16010822028554e-227,"ELAVL3","8","Down in KO"
2.91281191679314e-231,-5.10258882629602,0.099,0.91,8.77076796265581e-227,"TUBB2B","8","Down in KO"
3.77817759215722e-226,-8.07021635010072,0.003,0.471,1.13764705477446e-221,"BRINP3","8","Down in KO"
6.52734756369312e-221,-6.85745133751682,0.007,0.5,1.96544962490364e-216,"FSTL5","8","Down in KO"
6.4371966864794e-219,-6.18698243404726,0.017,0.576,1.93830429426581e-214,"TAGLN3","8","Down in KO"
1.27915736691055e-215,-5.39861167764949,0.05,0.729,3.85167074750434e-211,"PANTR1","8","Down in KO"
1.18214033607077e-213,-8.21725132341627,0.003,0.448,3.5595427659427e-209,"LHX9","8","Down in KO"
1.68245929901944e-213,-7.73068709021683,0.003,0.448,5.06605319527742e-209,"POU3F2","8","Down in KO"
2.04422327335965e-206,-6.61249405805896,0.007,0.476,6.15536069841323e-202,"RUNX1T1","8","Down in KO"
2.19796124935554e-206,-8.03318236336943,0.004,0.443,6.61828111793446e-202,"VCAM1","8","Down in KO"
9.69757520240114e-199,-6.29917105794777,0.011,0.49,2.92003686919501e-194,"HES5","8","Down in KO"
