"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster","significance"
0,-6.57910266320702,0.009,0.748,0,"AC092957.1","7","Down in KO"
0,-9.59887693471013,0.002,0.728,0,"S100A6","7","Down in KO"
2.58832840754617e-300,-5.44947415235278,0.022,0.703,7.79371566796228e-296,"ECRG4","7","Down in KO"
8.31919713798446e-238,-4.30013830600048,0.027,0.621,2.5049934502185e-233,"LINC02609","7","Down in KO"
5.94832949831115e-210,-3.48221927911848,0.072,0.71,1.79110149523647e-205,"COL1A2","7","Down in KO"
1.8800048497231e-201,-5.55829725458818,0.004,0.446,5.66088260300124e-197,"CLEC11A","7","Down in KO"
2.37815300502442e-199,-3.2832373482067,0.072,0.688,7.16085651342904e-195,"ZIC1","7","Down in KO"
4.35712480350719e-177,-3.92216736340695,0.073,0.632,1.31197384958405e-172,"DLK1","7","Down in KO"
1.85125462322228e-175,-9.95866241395806,0,0.368,5.57431279598461e-171,"TUSC1","7","Down in KO"
9.71030248175148e-170,1.85368306652037,0.989,0.797,2.92386918028019e-165,"IFI27","7","Up in KO"
1.12041023183289e-166,-3.4552275909257,0.023,0.469,3.37366724907202e-162,"EMC10","7","Down in KO"
1.95256647007893e-163,3.27041201359939,0.905,0.484,5.87937289805466e-159,"BST2","7","Up in KO"
8.95543815381881e-162,-3.03974028245323,0.075,0.621,2.69657198249638e-157,"DNER","7","Down in KO"
1.29933368571303e-158,-3.12483722266414,0.057,0.569,3.91242366105051e-154,"TUBB2B","7","Down in KO"
5.19005212147946e-156,-3.24167531828712,0.066,0.578,1.56277659429868e-151,"EGFL6","7","Down in KO"
4.24988485222659e-154,-3.08937900958747,0.052,0.545,1.27968282785395e-149,"TUBB2A","7","Down in KO"
3.31042610801725e-148,-5.85659521247444,0.002,0.326,9.96802405385075e-144,"AC092958.1","7","Down in KO"
2.24550345917473e-147,-3.34300436485584,0.02,0.415,6.76143546592104e-143,"ZIC4","7","Down in KO"
8.33166119966183e-147,-5.42866609642732,0.014,0.379,2.50874650383017e-142,"RBP4","7","Down in KO"
6.5738779309555e-145,-5.12390445693236,0.004,0.33,1.97946038379001e-140,"GDF15","7","Down in KO"
7.7080860537412e-145,-3.73553960962937,0.016,0.391,2.32098179164201e-140,"EPHA3","7","Down in KO"
8.51338241581744e-142,-2.58752216427797,0.129,0.694,2.56346457922679e-137,"GPM6B","7","Down in KO"
3.75458308274871e-137,-3.15896939658355,0.032,0.44,1.13054251204646e-132,"ROBO1","7","Down in KO"
6.42137276837963e-135,-2.80067218144593,0.074,0.565,1.93353955428679e-130,"NOVA1","7","Down in KO"
7.42221677106579e-135,-5.43126742804449,0.002,0.301,2.23490369193562e-130,"C19orf81","7","Down in KO"
1.08864355642154e-133,-3.29891027424721,0.041,0.462,3.27801461274089e-129,"RFX4","7","Down in KO"
7.23037369267203e-133,0.878148359269945,0.991,0.953,2.17713782260048e-128,"RPLP1","7","Up in KO"
1.6000870249539e-132,-4.66544240271669,0.007,0.321,4.81802204083869e-128,"JOSD2","7","Down in KO"
5.25022840682558e-132,1.1377028793156,0.989,0.94,1.58089627557925e-127,"B2M","7","Up in KO"
1.6344018357082e-131,-3.2470149130207,0.019,0.377,4.92134736750095e-127,"GREB1L","7","Down in KO"
4.32295735271849e-131,-6.42733367747285,0.001,0.288,1.30168568847706e-126,"CHCHD2","7","Down in KO"
2.72602658587443e-129,-4.65487277117137,0.015,0.35,8.20833865272649e-125,"DCT","7","Down in KO"
7.2637515558154e-128,1.0347453771031,0.975,0.931,2.18718823097157e-123,"RPL13","7","Up in KO"
2.98189509511077e-127,-4.77168614120529,0.006,0.308,8.97878432088803e-123,"FIGN","7","Down in KO"
1.46002378427906e-126,-2.47872617218178,0.05,0.482,4.39627761684269e-122,"BAALC","7","Down in KO"
5.31315027213183e-126,-3.88154250262133,0.012,0.335,1.59984267844161e-121,"FAT3","7","Down in KO"
1.13133002451979e-125,-5.00288499360308,0.005,0.299,3.40654783683155e-121,"CPNE4","7","Down in KO"
4.5281033562817e-125,-3.18886516083278,0.038,0.433,1.36345720160998e-120,"IL13RA2","7","Down in KO"
7.29591693095875e-125,-2.10240830871244,1,1,2.19687354708099e-120,"TTR","7","Down in KO"
3.70098860478553e-122,-6.5665433364186,0.002,0.272,1.11440467878697e-117,"RGCC","7","Down in KO"
8.66164903388935e-122,-5.18087848698697,0.004,0.286,2.60810914059442e-117,"AL353747.4","7","Down in KO"
1.69359652831741e-120,-5.79240554390523,0.003,0.275,5.09958850641655e-116,"IQCA1","7","Down in KO"
3.42444784991384e-120,-2.36587851456572,0.121,0.636,1.03113549208755e-115,"MGST1","7","Down in KO"
2.06172082682141e-119,-7.228538113736,0.001,0.263,6.20804758164193e-115,"EDNRB","7","Down in KO"
1.16226787240196e-118,-2.39374042169706,0.043,0.44,3.49970479058954e-114,"AC004540.2","7","Down in KO"
