"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.2531800212232,0.923,0.609,0,"0","WIF1"
0,1.06084680337334,0.755,0.442,0,"0","HSD17B2"
0,1.00625765338513,0.66,0.361,0,"0","GRM8"
0,1.06151527416957,0.836,0.54,0,"0","CXCL14"
0,1.62890787587386,0.547,0.255,0,"0","DIO3"
0,0.909606950740599,0.892,0.602,0,"0","ECEL1"
0,1.01293917983074,0.856,0.566,0,"0","HTR2C"
0,1.05963602512911,0.688,0.415,0,"0","PLAC9"
0,0.871654883984142,0.654,0.383,0,"0","WFIKKN2"
0,0.79474056567025,0.809,0.541,0,"0","ZFYVE16"
0,0.637858304748274,0.721,0.456,0,"0","CFI"
0,0.952391165885109,0.593,0.332,0,"0","MFAP2"
0,0.611954348000303,0.82,0.568,0,"0","MID1"
0,1.25866901925003,0.491,0.24,0,"0","DRD4"
0,0.832835194409932,0.977,0.727,0,"0","TRPM3"
0,0.491338498830855,0.684,0.441,0,"0","GPNMB"
0,0.689068595802589,0.772,0.53,0,"0","SERPINF1"
0,1.03919727385543,0.572,0.332,0,"0","SLC39A10"
0,1.14040474500539,0.466,0.227,0,"0","CPS1"
0,0.894938932967686,0.521,0.287,0,"0","COBLL1"
0,0.588448676010413,0.729,0.497,0,"0","CD9"
0,0.887003326674218,0.621,0.391,0,"0","WFDC2"
0,0.76196126151154,0.804,0.584,0,"0","NENF"
0,0.616928157354645,0.826,0.607,0,"0","CCN2"
0,0.588987485948082,0.887,0.679,0,"0","BST2"
0,0.930617766242333,0.479,0.275,0,"0","CA14"
0,0.854693854109168,0.527,0.326,0,"0","EFEMP1"
0,1.03716297286138,0.405,0.205,0,"0","SGCD"
0,0.522538728410549,0.938,0.738,0,"0","PCP4"
0,0.626776122562819,0.925,0.73,0,"0","KTN1"
0,0.571788713158119,0.786,0.599,0,"0","PRDX4"
0,0.507245847022907,0.821,0.635,0,"0","APLP2"
0,0.556123038589877,0.876,0.691,0,"0","BSG"
0,0.542377409949579,0.927,0.747,0,"0","SPATS2L"
0,0.52580521514996,0.943,0.777,0,"0","PDIA3"
0,0.478726274632646,0.918,0.757,0,"0","EEF1D"
0,0.5092247213064,0.954,0.794,0,"0","HSP90B1"
0,0.458731125226992,0.946,0.792,0,"0","PPIB"
0,0.467707578631498,0.957,0.815,0,"0","TMBIM6"
0,0.49725929503334,0.99,0.861,0,"0","PTGDS"
0,0.34898138440111,0.971,0.867,0,"0","RPL10A"
0,0.418610873209883,0.978,0.876,0,"0","SNHG29"
0,0.432115764689833,0.988,0.896,0,"0","RACK1"
0,0.35548913084449,0.989,0.903,0,"0","RPS9"
0,0.371857048035158,0.989,0.905,0,"0","RPS6"
0,0.363903648427135,0.985,0.901,0,"0","RPLP0"
0,0.371930846843939,0.99,0.915,0,"0","RPS5"
0,0.320602822418647,0.991,0.927,0,"0","RPL36A"
