"cluster","Total_DEGs","Up_in_KO","Down_in_KO"
"0",650,0,650
"1",224,0,224
"10",284,284,0
"11",266,266,0
"12",431,431,0
"13",229,229,0
"14",780,323,457
"15",285,29,256
"18",98,98,0
"2",170,2,168
"3",218,0,218
"4",1271,238,1033
"5",128,9,119
"6",220,114,106
"7",1342,175,1167
"8",114,112,2
"9",976,832,144
