"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster","significance"
2.30433290896252e-59,9.34498265737429,0.333,0,6.93857682217703e-55,"RERE-AS1","13","Up in KO"
2.30433290896252e-59,9.34498265737429,0.333,0,6.93857682217703e-55,"AL357509.1","13","Up in KO"
2.30433290896252e-59,8.81401324647815,0.333,0,6.93857682217703e-55,"AL583808.1","13","Up in KO"
2.30433290896252e-59,8.81401324647815,0.333,0,6.93857682217703e-55,"LINC01361","13","Up in KO"
2.30433290896252e-59,9.34498265737429,0.333,0,6.93857682217703e-55,"LINC01140","13","Up in KO"
2.30433290896252e-59,9.34498265737429,0.333,0,6.93857682217703e-55,"XCL1","13","Up in KO"
2.30433290896252e-59,8.81401324647815,0.333,0,6.93857682217703e-55,"LINC02776","13","Up in KO"
2.30433290896252e-59,9.34498265737429,0.333,0,6.93857682217703e-55,"LINC01696","13","Up in KO"
2.30433290896252e-59,9.34498265737429,0.333,0,6.93857682217703e-55,"AC108050.1","13","Up in KO"
2.30433290896252e-59,8.81401324647815,0.333,0,6.93857682217703e-55,"AC008464.1","13","Up in KO"
2.30433290896252e-59,8.81401324647815,0.333,0,6.93857682217703e-55,"SMIM23","13","Up in KO"
2.30433290896252e-59,9.34498265737429,0.333,0,6.93857682217703e-55,"HLA-DPA1","13","Up in KO"
2.30433290896252e-59,8.81401324647815,0.333,0,6.93857682217703e-55,"AL590727.1","13","Up in KO"
2.30433290896252e-59,8.81401324647815,0.333,0,6.93857682217703e-55,"CCL27","13","Up in KO"
2.30433290896252e-59,9.34498265737429,0.333,0,6.93857682217703e-55,"BARX1","13","Up in KO"
2.30433290896252e-59,8.81401324647815,0.333,0,6.93857682217703e-55,"OVOL1-AS1","13","Up in KO"
2.30433290896252e-59,9.34498265737429,0.333,0,6.93857682217703e-55,"AC024896.1","13","Up in KO"
2.30433290896252e-59,9.34498265737429,0.333,0,6.93857682217703e-55,"AL359682.1","13","Up in KO"
2.30433290896252e-59,8.81401324647815,0.333,0,6.93857682217703e-55,"AC084855.1","13","Up in KO"
2.30433290896252e-59,9.34498265737429,0.333,0,6.93857682217703e-55,"PLK5","13","Up in KO"
2.30433290896252e-59,9.34498265737429,0.333,0,6.93857682217703e-55,"AF038458.2","13","Up in KO"
9.85340400194954e-48,6.95160602608879,0.667,0.004,2.96695847902703e-43,"CAMK2A","13","Up in KO"
1.28785477583515e-47,7.47542228490227,0.667,0.004,3.87785951551723e-43,"KCNH3","13","Up in KO"
1.92453390861571e-30,8.60932273917535,0.333,0.001,5.79496405223275e-26,"AC026191.1","13","Up in KO"
1.92453390861571e-30,8.44081867964964,0.333,0.001,5.79496405223275e-26,"ZBTB20-AS4","13","Up in KO"
1.92453390861571e-30,9.94451285976692,0.333,0.001,5.79496405223275e-26,"MPIG6B","13","Up in KO"
1.92453390861571e-30,8.12903199481197,0.333,0.001,5.79496405223275e-26,"LINC02542","13","Up in KO"
1.92453390861571e-30,8.51016010236548,0.333,0.001,5.79496405223275e-26,"AL355581.1","13","Up in KO"
1.92453390861571e-30,8.38293814301856,0.333,0.001,5.79496405223275e-26,"POU6F2-AS2","13","Up in KO"
2.48512132791806e-30,7.13218157453969,0.667,0.008,7.48294883049408e-26,"SATB1-AS1","13","Up in KO"
2.68921404756434e-30,7.35614055478073,0.333,0.001,8.09749241862099e-26,"AGAP1-IT1","13","Up in KO"
2.68921404756434e-30,7.88309069038001,0.333,0.001,8.09749241862099e-26,"ESM1","13","Up in KO"
2.68921404756434e-30,7.88341311636348,0.333,0.001,8.09749241862099e-26,"AC073333.1","13","Up in KO"
2.68921404756434e-30,6.49990154094264,0.333,0.001,8.09749241862099e-26,"AC023509.2","13","Up in KO"
2.68921404756434e-30,5.8670186842942,0.333,0.001,8.09749241862099e-26,"ARHGAP9","13","Up in KO"
2.68921404756434e-30,6.94422016633928,0.333,0.001,8.09749241862099e-26,"LINC01692","13","Up in KO"
9.1673745073226e-21,9.12158412905582,0.333,0.003,2.76038813789991e-16,"AL031731.1","13","Up in KO"
9.1673745073226e-21,8.25824454724659,0.333,0.003,2.76038813789991e-16,"AL603839.2","13","Up in KO"
9.1673745073226e-21,8.26374338774298,0.333,0.003,2.76038813789991e-16,"CHRNB2","13","Up in KO"
9.1673745073226e-21,7.80072643385522,0.333,0.003,2.76038813789991e-16,"FAM177B","13","Up in KO"
9.1673745073226e-21,8.37827674321206,0.333,0.003,2.76038813789991e-16,"ARHGAP25","13","Up in KO"
9.1673745073226e-21,8.19777650187064,0.333,0.003,2.76038813789991e-16,"GRM7-AS3","13","Up in KO"
9.1673745073226e-21,9.94946439478728,0.333,0.003,2.76038813789991e-16,"LINC00491","13","Up in KO"
9.1673745073226e-21,7.85959346635346,0.333,0.003,2.76038813789991e-16,"ANXA13","13","Up in KO"
9.1673745073226e-21,8.5654590431064,0.333,0.003,2.76038813789991e-16,"PLCE1-AS2","13","Up in KO"
9.1673745073226e-21,8.66154680255329,0.333,0.003,2.76038813789991e-16,"EDRF1-AS1","13","Up in KO"
9.1673745073226e-21,8.31994623610642,0.333,0.003,2.76038813789991e-16,"AC092828.1","13","Up in KO"
9.1673745073226e-21,8.01207119018593,0.333,0.003,2.76038813789991e-16,"AL049840.4","13","Up in KO"
9.1673745073226e-21,7.72615107155221,0.333,0.003,2.76038813789991e-16,"AC116903.2","13","Up in KO"
9.1673745073226e-21,8.0136298670899,0.333,0.003,2.76038813789991e-16,"WNK4","13","Up in KO"
9.1673745073226e-21,7.96151949553172,0.333,0.003,2.76038813789991e-16,"AC011451.4","13","Up in KO"
9.1673745073226e-21,9.82092845529029,0.333,0.003,2.76038813789991e-16,"CYSLTR1","13","Up in KO"
1.14642256576893e-20,7.79264010883121,0.333,0.003,3.45199298778683e-16,"CNGA3","13","Up in KO"
1.14642256576893e-20,7.67616884541304,0.333,0.003,3.45199298778683e-16,"LINC02211","13","Up in KO"
1.14642256576893e-20,6.92312255336448,0.333,0.003,3.45199298778683e-16,"AC008840.1","13","Up in KO"
1.14642256576893e-20,6.90432637870817,0.333,0.003,3.45199298778683e-16,"PDE6C","13","Up in KO"
1.14642256576893e-20,7.58770836633709,0.333,0.003,3.45199298778683e-16,"AP002807.1","13","Up in KO"
1.14642256576893e-20,7.02174952360509,0.333,0.003,3.45199298778683e-16,"RTBDN","13","Up in KO"
1.14642256576893e-20,7.02362037385081,0.333,0.003,3.45199298778683e-16,"Z82215.1","13","Up in KO"
1.43285880503572e-20,6.83538774680943,0.333,0.003,4.31448114784307e-16,"CYP4X1","13","Up in KO"
1.43285880503572e-20,6.86187810225334,0.333,0.003,4.31448114784307e-16,"AC092675.1","13","Up in KO"
1.43285880503572e-20,5.39574964306439,0.333,0.003,4.31448114784307e-16,"AC093610.1","13","Up in KO"
1.43285880503572e-20,5.86779267016889,0.333,0.003,4.31448114784307e-16,"AC110809.1","13","Up in KO"
1.43285880503572e-20,7.41673155602734,0.333,0.003,4.31448114784307e-16,"AC007952.2","13","Up in KO"
