"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster","significance"
6.02646958435623e-103,2.38780191225968,0.943,0.407,1.8146302565455e-98,"IFI27","6","Up in KO"
3.95983241444468e-85,3.17615801175018,0.477,0.069,1.19234513831344e-80,"BST2","6","Up in KO"
1.41871117249775e-50,1.28958383247673,0.87,0.566,4.27188121150797e-46,"B2M","6","Up in KO"
2.61067207674136e-41,0.841177757228941,0.985,0.947,7.8609946902759e-37,"RPLP1","6","Up in KO"
3.96900551175014e-40,2.06347920325931,0.412,0.107,1.19510724964308e-35,"IFITM1","6","Up in KO"
7.4152932538851e-38,-1.29023617489578,0.767,0.924,2.23281895167734e-33,"TMSB10","6","Down in KO"
7.58344553948152e-38,-0.902968183480968,0.958,0.992,2.28345128639328e-33,"MT-CYB","6","Down in KO"
2.80980994378468e-37,-0.815978612919918,0.996,0.999,8.46061872173006e-33,"MT-CO2","6","Down in KO"
4.05515076693349e-37,0.873824992339212,0.817,0.476,1.22104644743134e-32,"IFI6","6","Up in KO"
7.37653020168295e-36,2.43837503450668,0.401,0.121,2.22114700902875e-31,"FAM89A","6","Up in KO"
1.39588021381827e-33,-0.968767698119841,0.859,0.96,4.20313491182819e-29,"MT-ND3","6","Down in KO"
2.31659944896301e-32,4.52517442994055,0.13,0.01,6.97551260077252e-28,"EMX2","6","Up in KO"
1.08081735418987e-31,-1.16900321061016,0.782,0.898,3.2544491352011e-27,"ACTB","6","Down in KO"
1.64448939226799e-30,1.25033923292947,0.656,0.33,4.95172200905815e-26,"ISG15","6","Up in KO"
4.03543500686603e-30,0.901230006909649,0.931,0.803,1.21510983491743e-25,"GSTP1","6","Up in KO"
1.29507218172939e-29,-0.769391945947058,0.973,0.994,3.89959184640538e-25,"MT-CO3","6","Down in KO"
9.33269412860082e-29,1.17195373945188,0.466,0.167,2.81016752906299e-24,"CRYAB","6","Up in KO"
1.26850522994602e-28,0.637492844162043,0.691,0.356,3.81959609789046e-24,"PTGDS","6","Up in KO"
4.49472461462642e-28,1.7723673216417,0.431,0.16,1.35340652871016e-23,"C9orf116","6","Up in KO"
2.75856426369277e-27,0.897640519172564,0.805,0.524,8.30631285440531e-23,"IFITM3","6","Up in KO"
1.1667707068502e-26,-0.819064955476374,0.927,0.976,3.51326327539665e-22,"MT-ATP6","6","Down in KO"
3.29001663325508e-26,1.53785575025837,0.477,0.197,9.90656908439436e-22,"HLA-B","6","Up in KO"
1.48706234224103e-25,-1.30616249526336,0.637,0.838,4.47769341872196e-21,"TUBA1A","6","Down in KO"
2.66383428263881e-25,1.95922467409216,0.385,0.137,8.02107140845372e-21,"CAPS","6","Up in KO"
4.79810554717432e-25,2.57121683797543,0.252,0.064,1.44475756130966e-20,"IER3","6","Up in KO"
1.47230402997659e-24,0.996863507127378,0.546,0.24,4.43325466466252e-20,"C1orf194","6","Up in KO"
5.0339002181868e-24,-2.7307880008276,0.08,0.411,1.51575769469823e-19,"TUBB2A","6","Down in KO"
2.8115315490298e-23,-0.628322190348525,0.992,0.997,8.46580264728362e-19,"MT-CO1","6","Down in KO"
3.13481521527805e-23,2.06220606058073,0.237,0.059,9.43924209472375e-19,"IFI44L","6","Up in KO"
5.90899448976686e-23,0.25864586900675,0.905,0.552,1.7792573308137e-18,"MALAT1","6","NS"
8.14066518050151e-23,1.70948722690461,0.485,0.231,2.45123569250081e-18,"RARRES2","6","Up in KO"
1.91978561514865e-22,1.48772366408985,0.515,0.261,5.7806664657741e-18,"AK1","6","Up in KO"
4.46547251186897e-22,1.88448083069469,0.359,0.135,1.34459842804887e-17,"HLA-C","6","Up in KO"
9.20445016132864e-22,1.11586152808837,0.527,0.243,2.77155198807767e-17,"PIFO","6","Up in KO"
1.03255246987585e-21,-2.66954487595814,0.099,0.412,3.10911874204317e-17,"TUBB3","6","Down in KO"
1.48167098790241e-21,1.97316064935963,0.282,0.089,4.46145951167296e-17,"CXCL14","6","Up in KO"
2.42102819332069e-21,1.968781887651,0.267,0.08,7.28995799290791e-17,"WIF1","6","Up in KO"
3.04472920183358e-21,-1.63145540649121,0.16,0.48,9.16798409964109e-17,"SOX4","6","Down in KO"
5.68310612628905e-21,-1.22688355782676,0.42,0.685,1.7112400856869e-16,"STMN1","6","Down in KO"
8.8192093818859e-21,-1.72482324837319,0.218,0.517,2.65555213697966e-16,"JPT1","6","Down in KO"
9.40410734392033e-21,-2.00315965204333,0.145,0.458,2.83167076232785e-16,"TUBB2B","6","Down in KO"
1.26969874990082e-20,1.4267696812983,0.45,0.212,3.82318990582637e-16,"TPM1","6","Up in KO"
1.5220848587925e-20,-1.58508299186526,0.229,0.543,4.58314971831008e-16,"MARCKSL1","6","Down in KO"
2.18780438804045e-20,2.78093040049138,0.24,0.072,6.5876977928286e-16,"ZFYVE16","6","Up in KO"
4.60837261503295e-20,-1.58460094432854,0.286,0.563,1.38762707811257e-15,"PPDPF","6","Down in KO"
8.66193487339863e-20,-2.48775747254368,0.115,0.399,2.60819520972906e-15,"FABP7","6","Down in KO"
9.51918827885707e-20,0.581668552559765,0.939,0.87,2.86632278264665e-15,"RPL13","6","Up in KO"
2.18355859237786e-19,1.40113977544022,0.359,0.138,6.57491327750896e-15,"FAM183A","6","Up in KO"
3.66307645559129e-19,-1.89075529358916,0.149,0.442,1.10298895154309e-14,"MARCKS","6","Down in KO"
5.48993968133986e-19,-1.27501880718821,0.431,0.652,1.65307573744824e-14,"RPS10","6","Down in KO"
1.5277512091029e-18,-0.653691097277839,0.935,0.97,4.60021166572975e-14,"MT-ND4","6","Down in KO"
1.80224760032992e-18,-9.50084856792963,0,0.237,5.42674774935342e-14,"S100A6","6","Down in KO"
1.88552606123647e-18,-3.462086567888,0.042,0.297,5.67750752298913e-14,"ZIC1","6","Down in KO"
2.8716258283739e-18,-1.00668667887695,0.527,0.724,8.64675253181665e-14,"SUMO2","6","Down in KO"
5.70168638677633e-18,2.93502547936035,0.134,0.025,1.71683478792222e-13,"FAM92B","6","Up in KO"
