"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster","significance"
8.44325890232087e-161,-10.1984391220455,0.001,0.388,2.54234968807784e-156,"S100A6","7","Down in KO"
1.71114786815818e-109,-5.23899033162965,0.003,0.328,5.1524373458111e-105,"EMC10","7","Down in KO"
1.3769613260877e-107,-5.5005535079166,0.001,0.269,4.14616824898268e-103,"CLEC11A","7","Down in KO"
5.17166060897891e-74,-9.73057979285596,0,0.164,1.55723872596964e-69,"TUSC1","7","Down in KO"
9.77014544396335e-70,-5.56968429594046,0.005,0.254,2.9418884946318e-65,"ECRG4","7","Down in KO"
1.92362471793783e-58,-4.74744910500376,0.003,0.194,5.7922263881826e-54,"ZIC4","7","Down in KO"
8.17544442662702e-56,-6.94084353185307,0.001,0.149,2.46170807130166e-51,"GDF15","7","Down in KO"
1.04898104038534e-55,-3.83111467412876,0.001,0.149,3.1585868107043e-51,"C19orf81","7","Down in KO"
2.99584680480962e-54,-9.68844967557251,0,0.119,9.02079431396224e-50,"CFLAR","7","Down in KO"
7.22449889863924e-54,-3.10276150599086,0.018,0.343,2.17536886336926e-49,"ZIC1","7","Down in KO"
2.22000378554631e-49,-5.9870082641256,0.001,0.134,6.6846533986585e-45,"BCAT1","7","Down in KO"
2.33127116634633e-49,-5.85161241572004,0.001,0.134,7.01969060898544e-45,"JOSD2","7","Down in KO"
5.22166606728202e-48,-4.20279388256237,0,0.119,1.57229586951929e-43,"LRRC4B","7","Down in KO"
1.14119620700449e-47,-7.03654419895214,0,0.104,3.43625589891122e-43,"IQCA1","7","Down in KO"
1.14119620700449e-47,-7.29440678302137,0,0.104,3.43625589891122e-43,"ECHDC3","7","Down in KO"
1.81459251758871e-45,-3.55364799137635,0.005,0.194,5.46391952971137e-41,"STRIP2","7","Down in KO"
4.24304875681129e-44,-3.12236908707519,0.002,0.149,1.27762441116345e-39,"AC092957.1","7","Down in KO"
1.59252289653022e-38,-3.11569487807468,0.003,0.149,4.79524569374215e-34,"TCTEX1D1","7","Down in KO"
3.06057695713736e-38,-2.46176429271531,0.014,0.254,9.21570327563632e-34,"NOVA1","7","Down in KO"
6.70760125548496e-37,-3.00644261066836,0.008,0.194,2.01972581403908e-32,"CPQ","7","Down in KO"
1.24304006455527e-35,-4.66613567687789,0.002,0.119,3.74291793838237e-31,"EPHA3","7","Down in KO"
4.06738589601393e-34,-1.33821653742638,0.004,0.149,1.22473056714875e-29,"AC006942.1","7","Down in KO"
6.33978610614237e-33,-3.17498120492337,0.001,0.104,1.90897299442053e-28,"ZNF44","7","Down in KO"
9.52163953436635e-33,-4.77537737845402,0.002,0.119,2.86706088019305e-28,"ZNF557","7","Down in KO"
2.85142479206185e-31,-2.57553645975074,0.008,0.179,8.58592519137744e-27,"MID1IP1","7","Down in KO"
1.15383742396025e-30,-2.95213771930532,0.005,0.149,3.47431986728669e-26,"RLF","7","Down in KO"
2.92987707029658e-29,-1.44464734507035,0.004,0.134,8.82215284637004e-25,"SOSTDC1","7","Down in KO"
3.89026172448468e-29,-3.19008563013118,0.009,0.179,1.17139670785958e-24,"AC008915.2","7","Down in KO"
4.18893603938228e-29,-1.56792471587596,0.006,0.149,1.2613305308184e-24,"GPR143","7","Down in KO"
4.54637024503053e-29,-2.52107699386298,0.009,0.179,1.36895754448114e-24,"RBPMS","7","Down in KO"
8.90626483268028e-29,-3.01116347022485,0.024,0.269,2.68176540376836e-24,"PSPH","7","Down in KO"
8.91350926337688e-29,-2.37695555518334,0.016,0.224,2.68394677429541e-24,"SLC39A12","7","Down in KO"
7.43332376689372e-28,-3.07590057458831,0.006,0.149,2.23824811944937e-23,"ARSG","7","Down in KO"
1.27539334758959e-26,-3.51811282174629,0.007,0.149,3.84033690892701e-22,"SPTY2D1OS","7","Down in KO"
3.22400476161457e-26,-3.95017793421314,0.004,0.119,9.70780073769763e-22,"SREBF2-AS1","7","Down in KO"
3.95977441137499e-26,-1.754658960261,0.018,0.224,1.19232767300912e-21,"TSPAN7","7","Down in KO"
1.56956978650361e-25,-1.26171113419131,0.016,0.209,4.72613158414101e-21,"ITGAV","7","Down in KO"
1.95705342723527e-25,-3.67735215011169,0.007,0.149,5.89288357474813e-21,"OMG","7","Down in KO"
2.09004026830999e-25,-3.0174733703376,0.011,0.179,6.29332025190822e-21,"HSPB8","7","Down in KO"
2.67918062121556e-25,-2.1455006425921,0.009,0.164,8.06728076854217e-21,"LINC02609","7","Down in KO"
4.94780005771174e-25,-2.50808725277508,0.003,0.104,1.48983207537758e-20,"LRRN3","7","Down in KO"
8.5084603835157e-25,-2.85784607097749,0.006,0.134,2.56198250608041e-20,"SLC6A15","7","Down in KO"
2.27511437454825e-24,-3.19415714522476,0.01,0.164,6.85059689320224e-20,"JAM2","7","Down in KO"
2.45572308056811e-24,-2.27861184571637,0.017,0.209,7.39442776789864e-20,"ELOVL4","7","Down in KO"
2.68765916647258e-24,-2.97388147250879,0.008,0.149,8.09281051616557e-20,"ALG1","7","Down in KO"
3.06192498066076e-24,-2.09368655570203,0.017,0.209,9.21976230926761e-20,"PIGK","7","Down in KO"
3.55799072377975e-24,-2.06895938475967,0.022,0.239,1.07134658683732e-19,"COL1A2","7","Down in KO"
7.6378849165685e-24,-2.80939312837765,0.017,0.209,2.29984352722794e-19,"LINC00467","7","Down in KO"
1.17551723684313e-23,-4.04120211729938,0.006,0.134,3.53959995185834e-19,"DCP1B","7","Down in KO"
2.33314978385913e-23,-1.41494621149721,0.01,0.164,7.02534731417823e-19,"RIIAD1","7","Down in KO"
3.61075420667738e-23,1.86753320649544,0.971,0.642,1.08723419917263e-18,"IFI27","7","Up in KO"
4.08123861630426e-23,-2.94485783228469,0.003,0.104,1.22890175975538e-18,"MFAP3L","7","Down in KO"
4.61378696529877e-23,-1.70362982504042,0.005,0.119,1.38925739312111e-18,"ARSB","7","Down in KO"
1.40006415589605e-22,-4.10145855799681,0.007,0.134,4.21573317981861e-18,"C1orf112","7","Down in KO"
1.43372037970483e-22,-2.0183753746407,0.011,0.164,4.31707543532922e-18,"ZFHX4","7","Down in KO"
1.56244748392413e-22,-1.75294770466309,0.027,0.254,4.70468561884396e-18,"CFAP300","7","Down in KO"
1.85473001142214e-22,-2.49122544423991,0.013,0.179,5.58477753739321e-18,"GBE1","7","Down in KO"
1.87694588943644e-22,-2.20699294149665,0.007,0.134,5.65167176768207e-18,"HS6ST3","7","Down in KO"
2.68415282124478e-22,-0.525665684694431,0.009,0.149,8.08225256005015e-18,"SULT1A1","7","Down in KO"
1.52487838590491e-21,-4.51195516988909,0.004,0.104,4.59156130779828e-17,"AKAP6","7","Down in KO"
1.70020408114161e-21,-2.90998602621699,0.004,0.104,5.1194845087255e-17,"EIF4E3","7","Down in KO"
1.79628896624662e-21,-2.84056486090075,0.007,0.134,5.40880570626521e-17,"EGFL6","7","Down in KO"
2.32506386972673e-21,-0.372782665623482,0.007,0.134,7.00099981813416e-17,"CFAP299","7","NS"
2.37552231212961e-21,-1.57146861129939,0.007,0.134,7.15293523405345e-17,"DRAM1","7","Down in KO"
3.65282748052714e-21,-1.82367440628842,0.023,0.224,1.09990288266153e-16,"C11orf88","7","Down in KO"
6.98892537602764e-21,-2.38568785272542,0.037,0.284,2.10443531997568e-16,"PSMG3","7","Down in KO"
7.79975865982443e-21,-2.25615517042602,0.023,0.224,2.34858533005973e-16,"SEZ6L2","7","Down in KO"
1.22564185899796e-20,-3.35871056329357,0.006,0.119,3.69053020162877e-16,"DUSP10","7","Down in KO"
1.35967100395068e-20,-2.01383918490299,0.006,0.119,4.09410535999589e-16,"SLC2A12","7","Down in KO"
1.40749108153824e-20,-2.19646965631232,0.006,0.119,4.23809639561979e-16,"TMEM161B","7","Down in KO"
1.52717997431702e-20,-2.4669745192609,0.008,0.134,4.59849162066598e-16,"MAL2","7","Down in KO"
2.2574052059972e-20,-0.753933282182167,0.008,0.134,6.79727281577817e-16,"ERMARD","7","Down in KO"
3.88352408106666e-20,-1.96828615087871,0.031,0.254,1.16936793604998e-15,"ERBB4","7","Down in KO"
4.35720939436971e-20,-1.22394483191285,0.015,0.179,1.31199932073866e-15,"PTPRK","7","Down in KO"
4.98608406232451e-20,-1.24689369085248,0.004,0.104,1.50135977200653e-15,"MAOB","7","Down in KO"
5.19021257779082e-20,-1.30729015747731,0.027,0.239,1.56282490929859e-15,"GRAMD2B","7","Down in KO"
5.6744133260449e-20,-2.14306571388985,0.01,0.149,1.70862259660538e-15,"ADCY9","7","Down in KO"
6.87246377323121e-20,-1.43055279952295,0.01,0.149,2.06936756675765e-15,"FAM171A2","7","Down in KO"
7.52770662282011e-20,-0.844392479070763,0.01,0.149,2.26666774119736e-15,"ZDHHC9","7","Down in KO"
9.1912083105365e-20,-1.55287707622492,0.013,0.164,2.76756473438564e-15,"PRMT6","7","Down in KO"
9.49363013705709e-20,-1.30574174557032,0.035,0.269,2.85862697056926e-15,"NIPA2","7","Down in KO"
1.19199253372208e-19,-3.13207763980892,0.008,0.134,3.58920871829056e-15,"AL035530.2","7","Down in KO"
1.46476582802185e-19,-2.98265253901686,0.006,0.119,4.4105563847566e-15,"KLF16","7","Down in KO"
1.59874905798606e-19,-2.95844729555668,0.006,0.119,4.81399328850182e-15,"AC108519.1","7","Down in KO"
2.0007871279609e-19,-1.69086220655386,0.032,0.254,6.02457012100305e-15,"C1orf56","7","Down in KO"
2.37633059271604e-19,-3.09834234625059,0.011,0.149,7.15536904772726e-15,"PAQR4","7","Down in KO"
2.55106627942284e-19,-1.76285598661542,0.022,0.209,7.68151567397011e-15,"PLPP1","7","Down in KO"
3.02497193687384e-19,-1.75339556507844,0.025,0.224,9.10849299912083e-15,"CADM2","7","Down in KO"
3.79159529563814e-19,-1.27514877722076,0.011,0.149,1.1416872594696e-14,"NEDD9","7","Down in KO"
6.95598055992358e-19,-1.70798631355843,0.045,0.299,2.09451530639859e-14,"MRPS10","7","Down in KO"
7.58583882575549e-19,-1.8449480285654,0.029,0.239,2.28417192882324e-14,"STT3A","7","Down in KO"
8.72368679476842e-19,-0.412977280146331,0.005,0.104,2.62678933077272e-14,"TTC29","7","NS"
9.48082602976351e-19,-0.844470057030086,0.005,0.104,2.85477152582209e-14,"LINC01091","7","Down in KO"
9.55987880240154e-19,-0.856720341303051,0.009,0.134,2.87857510619113e-14,"LINC00310","7","Down in KO"
1.00223662826192e-18,-1.51148421065386,0.009,0.134,3.01783471135946e-14,"ATRNL1","7","Down in KO"
1.08948082315205e-18,-2.02545029729906,0.014,0.164,3.28053570659315e-14,"DNER","7","Down in KO"
1.28878753968472e-18,-1.93739813299739,0.03,0.239,3.88066816074467e-14,"TMEM33","7","Down in KO"
1.30110712281079e-18,-1.94891534163831,0.026,0.224,3.91776365749556e-14,"GNG12-AS1","7","Down in KO"
1.31582665404852e-18,-1.88770048134093,0.014,0.164,3.9620856380055e-14,"NR1H2","7","Down in KO"
1.34094671020139e-18,-2.23207581581627,0.011,0.149,4.03772463908741e-14,"PRMT9","7","Down in KO"
1.36400588005547e-18,-2.39447492294357,0.011,0.149,4.10715810543502e-14,"PTPN13","7","Down in KO"
