"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster","significance"
0,-11.2504834916124,0,0.333,0,"AC073283.1","1","Down in KO"
0,-12.9987652254665,0,0.333,0,"AC099063.4","1","Down in KO"
0,-11.2504834916124,0,0.333,0,"TUSC1","1","Down in KO"
2.76075284890845e-191,-10.0690183260079,0,0.333,8.31290290334824e-187,"TNN","1","Down in KO"
2.76075284890845e-191,-10.5311211122018,0,0.333,8.31290290334824e-187,"AC112715.1","1","Down in KO"
2.76075284890845e-191,-9.86396739709908,0,0.333,8.31290290334824e-187,"LINC02640","1","Down in KO"
2.76075284890845e-191,-10.4881488138722,0,0.333,8.31290290334824e-187,"CORO6","1","Down in KO"
3.17367996427911e-128,-10.5957184520156,0,0.333,9.55626774044083e-124,"AC096555.1","1","Down in KO"
3.17367996427911e-128,-12.7931520890937,0,0.333,9.55626774044083e-124,"LINC01846","1","Down in KO"
3.96798548940904e-128,-9.32059473037309,0.002,0.667,1.19480011071595e-123,"S100A6","1","Down in KO"
4.95141909337207e-128,-8.88220474902823,0,0.333,1.49092180320526e-123,"AC107373.2","1","Down in KO"
4.95141909337207e-128,-9.62589511856574,0,0.333,1.49092180320526e-123,"ECHDC3","1","Down in KO"
1.32628074316784e-96,-11.1126168228768,0.001,0.333,3.99356394575268e-92,"ERICH3-AS1","1","Down in KO"
1.32628074316784e-96,-9.8583756522544,0.001,0.333,3.99356394575268e-92,"AC129807.1","1","Down in KO"
1.32628074316784e-96,-11.2478400035756,0.001,0.333,3.99356394575268e-92,"AC008551.1","1","Down in KO"
1.56716299187548e-96,-9.59476850475902,0.001,0.333,4.71888448483627e-92,"AC083906.3","1","Down in KO"
2.1877046600422e-96,-8.13961018200938,0.001,0.333,6.58739750185306e-92,"AL449214.1","1","Down in KO"
2.1877046600422e-96,-8.35396044965065,0.001,0.333,6.58739750185306e-92,"AL662890.1","1","Down in KO"
2.1877046600422e-96,-8.64822992215727,0.001,0.333,6.58739750185306e-92,"TNFSF15","1","Down in KO"
2.1877046600422e-96,-8.72035403468095,0.001,0.333,6.58739750185306e-92,"LINC01551","1","Down in KO"
1.27702642610559e-77,-10.4299545552652,0.001,0.333,3.84525427164655e-73,"LINC02232","1","Down in KO"
2.17814464330305e-77,-8.53749179117995,0.001,0.333,6.55861133544981e-73,"LINC02752","1","Down in KO"
1.0250549851096e-64,-8.09036978863987,0.001,0.333,3.08654306566352e-60,"AL591178.1","1","Down in KO"
1.0250549851096e-64,-7.53230023770412,0.001,0.333,3.08654306566352e-60,"AC004702.1","1","Down in KO"
1.06276132693549e-55,-8.18822566378637,0.001,0.333,3.20008063153546e-51,"AC109811.1","1","Down in KO"
1.16901498611141e-55,-7.69938960939696,0.001,0.333,3.52002102468007e-51,"LGI4","1","Down in KO"
7.31975793646021e-49,-6.86693847376835,0.001,0.333,2.20405231224754e-44,"GDPD5","1","Down in KO"
8.47692286119871e-44,-8.84450966345958,0.002,0.333,2.55248624273554e-39,"AC012510.1","1","Down in KO"
8.47692286119871e-44,-8.81250314026399,0.002,0.333,2.55248624273554e-39,"LINC02381","1","Down in KO"
1.42497687940572e-43,-6.55009128661143,0.002,0.333,4.29074788157856e-39,"AL138995.1","1","Down in KO"
2.44151493380033e-39,-6.61042023653788,0.002,0.333,7.35164561716619e-35,"FRMPD1","1","Down in KO"
2.44151493380033e-39,-6.79807488163488,0.002,0.333,7.35164561716619e-35,"GRIN2C","1","Down in KO"
4.39262648982684e-36,-8.41227111309756,0.002,0.333,1.32266376235176e-31,"PDE6A","1","Down in KO"
4.66798285921269e-36,-8.42675257753879,0.002,0.333,1.40557631873753e-31,"SAMMSON","1","Down in KO"
4.66798285921269e-36,-7.96129837960286,0.002,0.333,1.40557631873753e-31,"AC011509.2","1","Down in KO"
5.60123839160817e-36,-7.68295061695111,0.002,0.333,1.68658889209714e-31,"CFLAR","1","Down in KO"
7.13975823417165e-36,-5.96748708752083,0.002,0.333,2.14985260189143e-31,"FAM3D","1","Down in KO"
7.13975823417165e-36,-6.54962980131452,0.002,0.333,2.14985260189143e-31,"AC090587.1","1","Down in KO"
7.13975823417165e-36,-6.65962589051329,0.002,0.333,2.14985260189143e-31,"AC018946.1","1","Down in KO"
7.13975823417165e-36,-6.06438955261669,0.002,0.333,2.14985260189143e-31,"HIC1","1","Down in KO"
3.96911479082774e-33,-7.47128845644494,0.002,0.333,1.19514015466614e-28,"AP001007.2","1","Down in KO"
5.54206781075014e-33,-6.68534308306103,0.002,0.333,1.66877203849498e-28,"AL035411.3","1","Down in KO"
5.54206781075014e-33,-5.92139204295584,0.002,0.333,1.66877203849498e-28,"AC116424.1","1","Down in KO"
5.54206781075014e-33,-6.28435084657964,0.002,0.333,1.66877203849498e-28,"CDKN2A","1","Down in KO"
5.54206781075014e-33,-6.9303797111194,0.002,0.333,1.66877203849498e-28,"SERPINA5","1","Down in KO"
5.54206781075014e-33,-5.92420275189564,0.002,0.333,1.66877203849498e-28,"IRX3","1","Down in KO"
8.8074500839725e-31,-8.33380160086886,0.002,0.333,2.65201129478496e-26,"STON1-GTF2A1L","1","Down in KO"
9.27294915049377e-31,-8.26536423416491,0.002,0.333,2.79217771870518e-26,"AC104809.2","1","Down in KO"
9.27294915049377e-31,-8.14736973479451,0.002,0.333,2.79217771870518e-26,"NALCN-AS1","1","Down in KO"
1.55034635502596e-30,-6.2159750366417,0.002,0.333,4.66824790961867e-26,"GLYATL1","1","Down in KO"
1.26569583784235e-28,-7.88944789600137,0.002,0.333,3.81113673732709e-24,"CYYR1-AS1","1","Down in KO"
1.28373236142405e-26,-6.54781048185119,0.003,0.333,3.86544651348395e-22,"HENMT1","1","Down in KO"
1.28373236142405e-26,-5.85314612776947,0.003,0.333,3.86544651348395e-22,"ADGRD1","1","Down in KO"
4.82450761184221e-25,-6.11196063944711,0.003,0.333,1.45270748700181e-20,"AC108472.1","1","Down in KO"
5.02987709278768e-25,-6.81988238591008,0.003,0.333,1.5145462914093e-20,"SEMA3B-AS1","1","Down in KO"
5.02987709278768e-25,-5.69251634649315,0.003,0.333,1.5145462914093e-20,"LINC00997","1","Down in KO"
1.17117536363265e-24,-6.20862436542744,0.012,0.667,3.52652613743427e-20,"RGS7BP","1","Down in KO"
8.00039129425255e-24,-7.5085683127853,0.003,0.333,2.40899782261239e-19,"PDC","1","Down in KO"
1.95061257156083e-23,-5.7696701457772,0.013,0.667,5.87348951422681e-19,"TOGARAM2","1","Down in KO"
1.57648958453876e-22,-6.84276761872093,0.003,0.333,4.74696778800467e-18,"PKP4-AS1","1","Down in KO"
1.93235988002916e-22,-5.70687024319875,0.013,0.667,5.8185288347558e-18,"BMP1","1","Down in KO"
2.28502094806584e-22,-5.71828019563188,0.003,0.333,6.88042657672104e-18,"AC024361.2","1","Down in KO"
3.01111469981956e-21,-6.20343205797601,0.003,0.333,9.06676747262669e-17,"BIK","1","Down in KO"
1.92258602662136e-20,-7.28481941617976,0.004,0.333,5.78909878475958e-16,"AC091132.4","1","Down in KO"
2.77766747719157e-20,-6.07205534422342,0.004,0.333,8.36383454057155e-16,"HDC","1","Down in KO"
2.96935669738461e-20,-5.90364370232771,0.004,0.333,8.94102995149481e-16,"MRAP2","1","Down in KO"
1.32794565638923e-19,-9.30736912863554,0.004,0.333,3.99857716595361e-15,"ACTRT3","1","Down in KO"
1.50910120604703e-19,-7.30854835512882,0.004,0.333,4.54405464152822e-15,"GPR18","1","Down in KO"
2.51208116038638e-19,-5.884036650101,0.004,0.333,7.56412758203942e-15,"PLN","1","Down in KO"
2.51208116038638e-19,-5.63222351476183,0.004,0.333,7.56412758203942e-15,"AL355512.1","1","Down in KO"
1.6997927327587e-18,-5.33642941927166,0.004,0.333,5.11824589760973e-14,"NCOA7-AS1","1","Down in KO"
9.74935634416185e-18,-5.49197858879186,0.004,0.333,2.93562868879057e-13,"CREB3L2-AS1","1","Down in KO"
