"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.2531800212232,0.923,0.609,0,"0","WIF1"
0,1.06084680337334,0.755,0.442,0,"0","HSD17B2"
0,1.06151527416957,0.836,0.54,0,"0","CXCL14"
0,1.62890787587386,0.547,0.255,0,"0","DIO3"
0,1.25866901925003,0.491,0.24,0,"0","DRD4"
0,1.14040474500539,0.466,0.227,0,"0","CPS1"
1.72655915652491e-291,1.07565342975849,0.323,0.158,5.19884227621214e-287,"0","LINC02389"
1.91651269701156e-289,1.06948144150841,0.519,0.325,5.77081138197152e-285,"0","TYRP1"
1.98670420004789e-276,1.10661202964496,0.312,0.152,5.98216501676419e-272,"0","DIO3OS"
2.60953749815724e-247,1.12342571821052,0.313,0.162,7.85757836070126e-243,"0","TNNC1"
0,3.06577840637768,0.788,0.307,0,"1","TFPI2"
0,2.41321141145519,0.735,0.295,0,"1","GNG11"
0,2.45206406693727,0.576,0.19,0,"1","TNFRSF11B"
0,2.51356280156644,0.442,0.098,0,"1","OASL"
0,2.96653027975439,0.365,0.066,0,"1","FBLN5"
0,2.5518126297546,0.274,0.044,0,"1","STPG2-AS1"
0,2.48508577648123,0.265,0.052,0,"1","NTNG2"
0,2.44481056586422,0.277,0.08,0,"1","GFAP"
1.78945954182069e-305,2.42419017316068,0.302,0.114,5.38824162637628e-301,"1","RCAN1"
1.46378081475913e-200,2.72876560109165,0.282,0.129,4.40759041132122e-196,"1","DLK1"
8.61242086901347e-96,0.925376455051939,0.791,0.951,2.59328604786865e-91,"2","TMSB10"
3.10160291355576e-38,1.03205701976849,0.257,0.48,9.33923653300776e-34,"2","UCHL1"
4.46844740597271e-28,1.10619649766443,0.249,0.438,1.34549419841244e-23,"2","CKB"
9.11979905651146e-24,0.944653902496043,0.355,0.648,2.74606269390617e-19,"2","NDUFB3"
1.44587146581484e-23,0.970893540250752,0.183,0.312,4.35366357071508e-19,"2","C1orf194"
6.89103562636423e-23,1.08184980692892,0.567,0.746,2.07495973745453e-18,"2","TUBA1A"
3.25800767257394e-21,0.917731601729075,0.352,0.607,9.81018690288738e-17,"2","MARCKSL1"
5.34291991331029e-21,1.02685186152674,0.244,0.406,1.60880661509686e-16,"2","BEX1"
8.23654520910605e-11,1.26905066467156,0.183,0.274,2.48010612791392e-06,"2","MLLT11"
0.00567407676495586,1.40528628317232,0.206,0.269,1,"2","FABP7"
8.12784049764989e-300,1.56531592140737,0.999,0.999,2.44737405224736e-295,"3","TTR"
6.2379875982011e-253,1.84924260127567,0.37,0.148,1.87832044569433e-248,"3","KCNK15"
2.0043270086935e-227,1.95291189562451,0.352,0.142,6.035229055877e-223,"3","PPDPFL"
1.11407127034084e-175,1.38397774740404,0.435,0.225,3.35458000212331e-171,"3","AQP1"
2.96295679383236e-150,1.38107636227999,0.571,0.371,8.92175920190863e-146,"3","ANKRD37"
